영화,내 별점(y),평균별점,평가자수,등급,장르,국가,상영시간,년도
점퍼,3.0,3.40473,237909.0,15세 관람가,SF,미국,88.0,2008.0
12 몽키즈,4.0,3.73529,69107.0,15세 관람가,SF,미국,129.0,1995.0
디스트릭트 9,4.0,3.82466,227101.0,청소년 관람불가,SF,"미국, 뉴질랜드, 캐나다, 남아프리카 공화국",112.0,2009.0
클로버필드,4.0,3.32635,87303.0,15세 관람가,SF,미국,85.0,2008.0
아부의 왕,1.0,2.47844,24998.0,15세 관람가,코미디,한국,118.0,2012.0
퍼스트 어벤져,3.0,3.44168,191949.0,12세 관람가,판타지,미국,123.0,2011.0
챔프,1.0,2.90725,11741.0,12세 관람가,드라마,한국,133.0,2011.0
너는 펫,1.0,2.28755,35781.0,12세 관람가,로맨틱 코미디,한국,110.0,2011.0
전국노래자랑,1.0,2.60612,39607.0,12세 관람가,코미디,한국,112.0,2012.0
루퍼,4.0,3.48206,93314.0,청소년 관람불가,SF,미국,119.0,2012.0
다크 섀도우,3.0,2.74808,30514.0,15세 관람가,로맨틱 코미디,미국,112.0,2012.0
소스 코드,4.0,3.70224,231681.0,12세 관람가,SF,"미국, 프랑스",93.0,2011.0
점쟁이들,3.0,2.39666,33578.0,15세 관람가,코미디,한국,119.0,2012.0
가문의 영광5-가문의 귀환,1.0,2.3923,48496.0,15세 관람가,코미디,한국,104.0,2012.0
알투비:리턴투베이스,1.0,2.4328,59681.0,15세 관람가,액션,한국,113.0,2012.0
돈의 맛,1.0,2.52439,87039.0,청소년 관람불가,스릴러,한국,115.0,2012.0
토르: 천둥의 신,3.0,3.42266,270340.0,12세 관람가,판타지,미국,112.0,2011.0
웜 바디스,4.0,3.18514,163073.0,15세 관람가,코미디,미국,96.0,2013.0
간기남,3.0,2.62985,131972.0,청소년 관람불가,스릴러,한국,117.0,2012.0
간첩,2.0,2.74421,28991.0,15세 관람가,드라마,한국,115.0,2012.0
은교,4.0,2.98298,266050.0,청소년 관람불가,로맨스/멜로,한국,129.0,2012.0
브레이킹 던 part1,3.0,3.51084,244668.0,15세 관람가,판타지,미국,117.0,2011.0
오블리비언,3.0,3.44597,115430.0,15세 관람가,SF,미국,124.0,2013.0
만추,2.0,3.31623,114204.0,15세 관람가,로맨스/멜로,"미국, 한국",115.0,2010.0
원스,4.0,3.91168,291380.0,전체 관람가,로맨스/멜로,아일랜드,86.0,2006.0
잘 알지도 못하면서,3.0,3.38022,19527.0,청소년 관람불가,로맨스/멜로,한국,126.0,2008.0
혹성탈출: 진화의 시작,4.0,3.71281,316023.0,12세 관람가,SF,미국,106.0,2011.0
그랜 토리노,3.0,3.89082,55159.0,12세 관람가,드라마,미국,116.0,2008.0
렛 미 인,3.0,3.7045,93107.0,15세 관람가,공포,스웨덴,114.0,2008.0
밀리언 달러 베이비,3.0,3.76991,90784.0,12세 관람가,드라마,미국,133.0,2004.0
디파티드,3.0,3.65439,75758.0,15세 관람가,범죄,미국,151.0,2006.0
허트 로커,3.0,3.79193,84545.0,15세 관람가,전쟁,미국,130.0,2008.0
슬럼독 밀리어네어,2.0,3.89361,227463.0,15세 관람가,드라마,"영국, 미국",120.0,2008.0
해바라기,3.0,3.79847,278203.0,15세 관람가,액션,한국,116.0,2006.0
리미트리스,3.0,3.86227,164554.0,15세 관람가,SF,미국,105.0,2011.0
토르: 다크 월드,3.0,3.61026,200003.0,12세 관람가,판타지,미국,112.0,2013.0
인정사정 볼 것 없다,3.0,3.5132,92490.0,12세 관람가,액션,한국,112.0,1999.0
범죄의 재구성,3.0,3.79031,169912.0,청소년 관람불가,범죄,한국,116.0,2004.0
미션 임파서블,4.0,4.07217,227508.0,15세 관람가,액션,미국,110.0,1996.0
21,3.0,3.5912,139110.0,15세 관람가,범죄,미국,122.0,2008.0
파수꾼,5.0,3.96741,82901.0,15세 관람가,드라마,한국,117.0,2010.0
콘스탄틴,3.0,3.82444,259529.0,15세 관람가,판타지,미국,120.0,2005.0
클라우드 아틀라스,3.0,3.25892,78198.0,청소년 관람불가,SF,"미국, 독일",172.0,2012.0
나우 유 씨 미 : 마술사기단,3.0,3.51799,265201.0,12세 관람가,범죄,"미국, 프랑스",115.0,2013.0
올드보이,5.0,4.08161,425007.0,청소년 관람불가,스릴러,한국,120.0,2003.0
아내가 결혼했다,3.0,3.1362,120014.0,청소년 관람불가,로맨틱 코미디,한국,119.0,2008.0
바르게 살자,4.0,3.23869,78856.0,15세 관람가,코미디,한국,102.0,2007.0
셜록 홈즈,4.0,3.69325,315678.0,12세 관람가,액션,"영국, 오스트레일리아, 미국",128.0,2009.0
거북이 달린다,4.0,3.2313,149170.0,15세 관람가,코미디,한국,117.0,2009.0
강철중: 공공의 적 1-1,3.0,3.47147,208466.0,15세 관람가,범죄,한국,127.0,2008.0
해리 포터와 비밀의 방,4.0,3.93393,474683.0,전체 관람가,판타지,"영국, 미국",162.0,2002.0
페이스 오프,3.0,3.86852,164431.0,청소년 관람불가,액션,미국,138.0,1997.0
맨 인 블랙,3.0,3.89125,347890.0,12세 관람가,SF,미국,98.0,1997.0
행오버,3.0,3.64183,119453.0,청소년 관람불가,코미디,"미국, 독일",100.0,2009.0
청설,4.0,3.80162,55838.0,전체 관람가,로맨스/멜로,대만,109.0,2009.0
제리 맥과이어,3.0,3.84398,87651.0,15세 관람가,드라마,미국,138.0,1996.0
프리퀀시,3.0,3.93613,70688.0,12세 관람가,SF,미국,117.0,2000.0
이터널 선샤인,4.0,4.08404,282441.0,15세 관람가,로맨스/멜로,미국,107.0,2004.0
말할 수 없는 비밀,5.0,4.02288,546448.0,12세 관람가,로맨스/멜로,대만,101.0,2007.0
바람,4.0,3.99843,310062.0,청소년 관람불가,드라마,한국,107.0,2009.0
뱀파이어와의 인터뷰,4.0,3.83792,104484.0,청소년 관람불가,공포,미국,123.0,1994.0
매트릭스 3 - 레볼루션,4.0,3.93548,226256.0,15세 관람가,SF,미국,128.0,2003.0
러브 액츄얼리,4.0,4.05762,444015.0,청소년 관람불가,로맨틱 코미디,"영국, 미국",135.0,2003.0
업,4.0,4.04388,337241.0,전체 관람가,애니메이션,미국,101.0,2009.0
늑대아이,4.0,3.89114,169225.0,전체 관람가,애니메이션,일본,117.0,2012.0
월-E,4.0,4.01492,320553.0,전체 관람가,애니메이션,미국,104.0,2008.0
매트릭스 2 - 리로디드,4.0,3.92303,248695.0,15세 관람가,SF,미국,138.0,2003.0
나 홀로 집에,3.0,3.9823,564466.0,전체 관람가,코미디,미국,105.0,1990.0
캐치 미 이프 유 캔,3.0,4.05253,365019.0,15세 관람가,드라마,미국,140.0,2002.0
메멘토,4.0,4.06945,304903.0,15세 관람가,스릴러,미국,112.0,2000.0
콘택트,3.0,3.94302,78594.0,12세 관람가,SF,미국,145.0,1997.0
피아니스트의 전설,4.0,4.07597,45251.0,15세 관람가,드라마,이탈리아,123.0,1998.0
마이너리티 리포트,4.0,3.98606,286047.0,15세 관람가,SF,미국,145.0,2002.0
중경삼림,5.0,3.98237,80948.0,15세 관람가,드라마,홍콩,101.0,1994.0
시간을 달리는 소녀,4.0,4.02359,421990.0,전체 관람가,애니메이션,일본,97.0,2006.0
아마데우스,4.0,4.03018,149198.0,전체 관람가,드라마,미국,158.0,1984.0
모노노케 히메,5.0,4.03719,286691.0,전체 관람가,애니메이션,일본,135.0,1997.0
아이덴티티,5.0,4.05722,243466.0,15세 관람가,스릴러,미국,90.0,2003.0
타인의 삶,5.0,4.08585,52064.0,15세 관람가,드라마,독일,137.0,2006.0
토이 스토리,3.0,4.035,374413.0,전체 관람가,애니메이션,미국,77.0,1995.0
라이언 일병 구하기,3.0,4.11414,276094.0,15세 관람가,전쟁,미국,170.0,1998.0
라이프 오브 파이,5.0,3.98728,278327.0,전체 관람가,드라마,미국,127.0,2012.0
아이언맨,4.0,4.13979,591991.0,12세 관람가,SF,미국,125.0,2008.0
죽은 시인의 사회,4.0,4.2235,280433.0,전체 관람가,드라마,미국,127.0,1989.0
파이트 클럽,4.0,4.14653,205440.0,청소년 관람불가,액션,"미국, 독일",139.0,1999.0
글래디에이터,4.0,4.14515,268823.0,15세 관람가,액션,"미국, 영국",154.0,2000.0
본 아이덴티티,4.0,4.13832,304525.0,12세 관람가,액션,"미국, 체코",118.0,2002.0
세 얼간이,3.0,4.16428,555573.0,12세 관람가,드라마,인도,141.0,2009.0
서유기 2 - 선리기연,5.0,4.02658,47637.0,15세 관람가,코미디,홍콩,99.0,1994.0
포레스트 검프,5.0,4.29332,332860.0,12세 관람가,드라마,미국,142.0,1994.0
인생은 아름다워,3.0,4.39753,320966.0,전체 관람가,드라마,이탈리아,116.0,1997.0
매트릭스,5.0,4.1953,413413.0,12세 관람가,SF,미국,136.0,1999.0
이상한 나라의 앨리스,3.0,3.31026,258247.0,전체 관람가,판타지,미국,108.0,2010.0
나잇 & 데이,3.0,3.33055,153512.0,15세 관람가,액션,미국,109.0,2010.0
우주 전쟁,3.0,3.32315,220287.0,12세 관람가,SF,미국,116.0,2005.0
부당거래,3.0,3.8242,253650.0,청소년 관람불가,범죄,한국,119.0,2010.0
호빗: 뜻밖의 여정,4.0,3.74929,258728.0,12세 관람가,판타지,"미국, 뉴질랜드",169.0,2012.0
맨 인 블랙 3,3.0,3.67057,292048.0,12세 관람가,SF,미국,106.0,2012.0
완득이,3.0,3.44705,444861.0,12세 관람가,드라마,한국,107.0,2011.0
아이언맨 2,4.0,3.90757,488167.0,12세 관람가,SF,미국,125.0,2010.0
연가시,2.0,2.91864,379579.0,15세 관람가,스릴러,한국,109.0,2012.0
쿵푸팬더,2.0,3.75018,481870.0,전체 관람가,애니메이션,미국,92.0,2008.0
2012,2.0,3.37832,323836.0,12세 관람가,SF,"미국, 캐나다",157.0,2009.0
화려한 휴가,1.0,3.61998,362496.0,12세 관람가,드라마,한국,125.0,2007.0
악마를 보았다,3.0,3.67041,341190.0,청소년 관람불가,공포,한국,144.0,2010.0
투모로우,3.0,3.66202,397053.0,12세 관람가,SF,미국,123.0,2004.0
비열한 거리,4.0,3.63347,241901.0,청소년 관람불가,범죄,한국,141.0,2006.0
나의 PS 파트너,3.0,3.20358,292135.0,청소년 관람불가,로맨틱 코미디,한국,114.0,2012.0
혈의 누,1.0,3.00194,120040.0,청소년 관람불가,스릴러,한국,119.0,2005.0
박수칠 때 떠나라,4.0,3.18567,117793.0,15세 관람가,코미디,한국,115.0,2005.0
"달콤, 살벌한 연인",3.0,3.06479,149286.0,청소년 관람불가,로맨틱 코미디,한국,110.0,2006.0
이글 아이,3.0,3.27754,104193.0,12세 관람가,SF,미국,117.0,2008.0
테이큰 2,2.0,3.37517,212193.0,청소년 관람불가,액션,프랑스,92.0,2012.0
음란서생,2.0,2.8175,110640.0,12세 관람가,코미디,한국,139.0,2006.0
포세이돈,3.0,3.19552,45970.0,12세 관람가,액션,미국,98.0,2006.0
미인도,2.0,2.70838,118003.0,청소년 관람불가,로맨스/멜로,한국,108.0,2008.0
이웃사람,1.0,3.33938,326491.0,청소년 관람불가,스릴러,한국,110.0,2012.0
엑스맨: 퍼스트 클래스,3.0,3.95766,317575.0,12세 관람가,판타지,미국,132.0,2011.0
1번가의 기적,1.0,2.89138,117941.0,15세 관람가,코미디,한국,113.0,2007.0
고지전,1.0,3.49318,301726.0,15세 관람가,전쟁,한국,133.0,2011.0
마더,2.0,3.50151,247274.0,청소년 관람불가,스릴러,한국,128.0,2009.0
오싹한 연애,1.0,3.25816,309994.0,12세 관람가,로맨틱 코미디,한국,114.0,2011.0
하모니,1.0,3.66663,344842.0,12세 관람가,드라마,한국,115.0,2009.0
헬로우 고스트,3.0,3.41475,314900.0,12세 관람가,코미디,한국,111.0,2010.0
해리 포터와 불사조 기사단,4.0,3.78004,378478.0,전체 관람가,판타지,"미국, 영국",137.0,2007.0
해리 포터와 마법사의 돌,4.0,4.03751,506116.0,전체 관람가,판타지,"영국, 미국",152.0,2001.0
쌍화점,2.0,2.8053,259401.0,청소년 관람불가,드라마,한국,133.0,2008.0
신기전,1.0,3.06037,157266.0,15세 관람가,전쟁,한국,134.0,2008.0
우리 생애 최고의 순간,1.0,3.41702,271076.0,15세 관람가,드라마,한국,124.0,2007.0
댄싱퀸,1.0,3.22632,277071.0,12세 관람가,코미디,한국,124.0,2012.0
스파이더맨 3,2.0,3.63347,324347.0,12세 관람가,판타지,미국,139.0,2007.0
동갑내기 과외하기,2.0,3.02622,381949.0,12세 관람가,로맨틱 코미디,한국,110.0,2003.0
추격자,4.0,4.14751,566089.0,청소년 관람불가,스릴러,한국,123.0,2008.0
캐리비안의 해적 - 세상의 끝에서,5.0,3.89595,399279.0,12세 관람가,판타지,미국,168.0,2007.0
반지의 제왕 2 - 두 개의 탑,5.0,4.09081,383651.0,12세 관람가,판타지,"뉴질랜드, 미국",177.0,2002.0
타이타닉,4.0,4.31153,652722.0,15세 관람가,로맨스/멜로,미국,195.0,1997.0
투사부일체,1.0,2.6833,125529.0,15세 관람가,코미디,한국,124.0,2005.0
미션 임파서블 3,3.0,3.86842,273752.0,15세 관람가,액션,미국,124.0,2006.0
의형제,2.0,3.51904,348498.0,15세 관람가,액션,한국,116.0,2010.0
타워,1.0,3.26859,237948.0,12세 관람가,액션,한국,121.0,2012.0
타짜,4.0,4.0951,549174.0,청소년 관람불가,드라마,한국,139.0,2006.0
레미제라블,4.0,3.99482,486463.0,12세 관람가,드라마,영국,158.0,2012.0
인셉션,5.0,4.3494,678754.0,12세 관람가,SF,"미국, 영국",147.0,2010.0
전우치,4.0,3.27914,520542.0,12세 관람가,판타지,한국,136.0,2009.0
최종병기 활,3.0,3.61536,465850.0,청소년 관람불가,전쟁,한국,122.0,2011.0
트랜스포머,4.0,3.94416,545464.0,12세 관람가,SF,미국,135.0,2007.0
미션 임파서블 : 고스트 프로토콜,4.0,3.92735,374193.0,15세 관람가,액션,미국,132.0,2011.0
트랜스포머 3,4.0,3.56663,453533.0,12세 관람가,SF,미국,152.0,2011.0
작업의 정석,3.0,2.96827,168563.0,15세 관람가,로맨틱 코미디,한국,100.0,2005.0
댄서의 순정,1.0,2.7966,128744.0,12세 관람가,로맨스/멜로,한국,110.0,2005.0
연애의 온도,2.0,3.45453,274784.0,청소년 관람불가,로맨스/멜로,한국,112.0,2012.0
애자,2.0,3.38084,70497.0,15세 관람가,드라마,한국,110.0,2009.0
코리아,1.0,3.34347,155550.0,12세 관람가,드라마,한국,127.0,2012.0
귀신이 산다,3.0,2.81053,286423.0,12세 관람가,코미디,한국,123.0,2004.0
본 얼티메이텀,4.0,4.15796,294512.0,12세 관람가,액션,"미국, 독일",115.0,2007.0
트로이,3.0,3.6674,217039.0,15세 관람가,판타지,미국,163.0,2004.0
300,3.0,3.82897,354833.0,청소년 관람불가,액션,미국,116.0,2006.0
공공의 적 2,4.0,3.27999,190564.0,15세 관람가,드라마,한국,148.0,2005.0
미녀는 괴로워,4.0,3.43045,607850.0,12세 관람가,로맨틱 코미디,한국,120.0,2006.0
해리 포터와 죽음의 성물 - 2부,4.0,3.94171,390177.0,전체 관람가,판타지,"영국, 미국",131.0,2011.0
뉴 문,3.0,3.3316,303694.0,12세 관람가,판타지,미국,130.0,2009.0
맨 인 블랙 2,3.0,3.71971,283991.0,12세 관람가,SF,미국,88.0,2002.0
내 머리 속의 지우개,3.0,3.72241,315067.0,12세 관람가,로맨스/멜로,한국,117.0,2004.0
엑스맨 - 최후의 전쟁,2.0,3.67682,245863.0,12세 관람가,SF,미국,103.0,2006.0
원티드,3.0,3.65526,266594.0,청소년 관람불가,액션,"미국, 독일",110.0,2008.0
광식이 동생 광태,2.0,2.79245,129959.0,15세 관람가,로맨틱 코미디,한국,104.0,2005.0
세븐 데이즈,2.0,3.5326,201165.0,청소년 관람불가,스릴러,한국,125.0,2007.0
쩨쩨한 로맨스,3.0,2.98451,134267.0,청소년 관람불가,로맨틱 코미디,한국,118.0,2010.0
이클립스,3.0,3.43617,255067.0,12세 관람가,판타지,미국,124.0,2010.0
박쥐,2.0,3.1077,196716.0,청소년 관람불가,스릴러,한국,133.0,2009.0
셜록홈즈 : 그림자 게임,3.0,3.67752,263115.0,15세 관람가,액션,미국,128.0,2011.0
내 생애 가장 아름다운 일주일,3.0,3.24995,102895.0,15세 관람가,로맨틱 코미디,한국,129.0,2005.0
테이큰,3.0,4.09672,502123.0,청소년 관람불가,액션,프랑스,93.0,2008.0
7광구,1.0,1.75753,85796.0,15세 관람가,SF,한국,112.0,2011.0
가문의 영광 4 - 가문의 수난,1.0,2.23151,41290.0,15세 관람가,코미디,한국,103.0,2011.0
하울의 움직이는 성,4.0,4.20534,618548.0,전체 관람가,애니메이션,일본,119.0,2004.0
화차,4.0,3.30847,238165.0,15세 관람가,스릴러,한국,117.0,2012.0
반창꼬,3.0,3.50538,317862.0,15세 관람가,로맨스/멜로,한국,120.0,2012.0
나는 전설이다,4.0,3.57933,350858.0,12세 관람가,SF,미국,97.0,2007.0
우리들의 행복한 시간,3.0,3.60441,309162.0,15세 관람가,드라마,한국,120.0,2006.0
위험한 상견례,1.0,3.01242,186109.0,12세 관람가,코미디,한국,118.0,2011.0
마파도,1.0,2.78611,159436.0,15세 관람가,코미디,한국,105.0,2005.0
후궁 : 제왕의 첩,1.0,2.62088,173621.0,청소년 관람불가,스릴러,한국,122.0,2012.0
가문의 부활 - 가문의 영광 3,1.0,2.30139,49471.0,15세 관람가,코미디,한국,128.0,2006.0
시라노; 연애조작단,4.0,3.32162,455243.0,12세 관람가,로맨틱 코미디,한국,117.0,2010.0
브레이킹 던 part2,1.0,3.58844,251309.0,15세 관람가,판타지,미국,115.0,2012.0
미스터 & 미세스 스미스,4.0,3.65016,343248.0,15세 관람가,액션,미국,119.0,2005.0
해리 포터와 죽음의 성물 - 1부,4.0,3.84173,359504.0,전체 관람가,판타지,"영국, 미국",146.0,2010.0
솔트,3.0,3.32061,201613.0,15세 관람가,액션,미국,99.0,2010.0
방자전,3.0,2.97868,252361.0,청소년 관람불가,드라마,한국,124.0,2010.0
친절한 금자씨,2.0,3.49795,274670.0,청소년 관람불가,스릴러,한국,112.0,2005.0
퀵,1.0,2.90859,339692.0,15세 관람가,액션,한국,115.0,2011.0
캐리비안의 해적: 낯선 조류,4.0,3.78881,340475.0,12세 관람가,판타지,미국,137.0,2011.0
아일랜드,5.0,3.73439,323167.0,12세 관람가,SF,미국,136.0,2005.0
해리 포터와 불의 잔,4.0,3.83282,400204.0,12세 관람가,판타지,"영국, 미국",156.0,2005.0
반지의 제왕 - 반지 원정대,5.0,4.07742,395033.0,12세 관람가,판타지,"뉴질랜드, 미국",178.0,2001.0
7급 공무원,1.0,3.12789,389257.0,12세 관람가,코미디,한국,112.0,2009.0
색즉시공,1.0,2.81945,207913.0,청소년 관람불가,코미디,한국,96.0,2002.0
태풍,1.0,2.51407,66441.0,15세 관람가,액션,한국,124.0,2005.0
다크 나이트,5.0,4.33249,574317.0,15세 관람가,판타지,미국,152.0,2008.0
박물관이 살아있다!,2.0,3.44169,418085.0,전체 관람가,판타지,"미국, 영국",108.0,2006.0
캐리비안의 해적 - 망자의 함,5.0,3.90615,414875.0,12세 관람가,판타지,미국,143.0,2006.0
도가니,3.0,3.57564,420397.0,청소년 관람불가,드라마,한국,125.0,2011.0
조선명탐정: 각시투구꽃의 비밀,3.0,3.23239,336852.0,12세 관람가,코미디,한국,115.0,2011.0
어메이징 스파이더맨,1.0,3.64061,364777.0,12세 관람가,액션,미국,136.0,2012.0
엽기적인 그녀,5.0,3.81837,520375.0,15세 관람가,로맨틱 코미디,한국,122.0,2001.0
바람과 함께 사라지다,2.0,3.15909,290304.0,12세 관람가,코미디,한국,121.0,2012.0
가문의 영광,1.0,2.73832,96098.0,15세 관람가,로맨틱 코미디,한국,115.0,2002.0
가문의 위기 - 가문의 영광 2,1.0,2.42363,96393.0,15세 관람가,코미디,한국,115.0,2005.0
조폭 마누라,1.0,2.62852,131510.0,15세 관람가,코미디,한국,105.0,2001.0
살인의 추억,5.0,4.10949,443199.0,15세 관람가,스릴러,한국,132.0,2003.0
반지의 제왕 3 - 왕의 귀환,5.0,4.15534,413761.0,12세 관람가,판타지,"뉴질랜드, 미국",199.0,2003.0
쉬리,3.0,3.72624,228720.0,15세 관람가,액션,한국,115.0,1998.0
친구,3.0,3.81506,362905.0,청소년 관람불가,범죄,한국,115.0,2001.0
실미도,4.0,3.69916,434176.0,15세 관람가,액션,한국,135.0,2003.0
태극기 휘날리며,4.0,3.88916,557510.0,15세 관람가,전쟁,한국,145.0,2003.0
아저씨,4.0,3.95571,667011.0,청소년 관람불가,액션,한국,119.0,2010.0
다크 나이트 라이즈,5.0,4.18383,491726.0,15세 관람가,판타지,"미국, 영국",164.0,2012.0
웰컴 투 동막골,5.0,3.66893,517025.0,12세 관람가,코미디,한국,133.0,2005.0
늑대소년,4.0,3.45183,543966.0,15세 관람가,로맨스/멜로,한국,125.0,2012.0
"좋은 놈, 나쁜 놈, 이상한 놈",3.0,3.46538,451928.0,15세 관람가,액션,한국,139.0,2008.0
어벤져스,3.0,4.05681,604999.0,12세 관람가,판타지,미국,142.0,2012.0
베를린,2.0,3.48324,397766.0,15세 관람가,액션,한국,120.0,2012.0
써니,2.0,3.95354,731014.0,15세 관람가,코미디,한국,124.0,2011.0
트랜스포머: 패자의 역습,3.0,3.68044,433493.0,12세 관람가,SF,미국,149.0,2009.0
국가대표,4.0,3.75914,596731.0,12세 관람가,코미디,한국,137.0,2009.0
해운대,2.0,3.29134,602607.0,12세 관람가,드라마,한국,120.0,2009.0
괴물,4.0,3.82494,676592.0,15세 관람가,스릴러,한국,119.0,2006.0
과속스캔들,4.0,3.73748,654809.0,12세 관람가,코미디,한국,108.0,2008.0
왕의 남자,5.0,3.74804,573251.0,15세 관람가,드라마,한국,119.0,2005.0
"광해, 왕이 된 남자",4.0,4.02419,735934.0,15세 관람가,드라마,한국,131.0,2012.0
7번방의 선물,4.0,3.97763,714035.0,15세 관람가,코미디,한국,127.0,2012.0
도둑들,4.0,3.76309,706883.0,15세 관람가,액션,한국,135.0,2012.0
말죽거리 잔혹사,3.0,3.37415,283805.0,15세 관람가,액션,한국,116.0,2004.0
포화 속으로,3.0,3.30031,294024.0,12세 관람가,전쟁,한국,120.0,2010.0
스파이더맨 2,3.0,3.67278,330798.0,12세 관람가,판타지,미국,126.0,2004.0
센과 치히로의 행방불명,5.0,4.27281,643688.0,전체 관람가,애니메이션,일본,126.0,2001.0
나비 효과,5.0,4.04594,297595.0,청소년 관람불가,스릴러,미국,113.0,2004.0
셔터 아일랜드,4.0,3.80457,219216.0,15세 관람가,스릴러,미국,138.0,2010.0
트루먼 쇼,5.0,4.22021,426398.0,15세 관람가,드라마,미국,102.0,1998.0
이프 온리,3.0,4.03853,364964.0,15세 관람가,로맨스/멜로,"미국, 영국",96.0,2004.0
공동경비구역 JSA,5.0,3.89998,320751.0,15세 관람가,드라마,한국,110.0,2000.0
본 슈프리머시,4.0,4.1462,232427.0,15세 관람가,액션,"미국, 독일",110.0,2004.0
초능력자,2.0,2.85195,271477.0,15세 관람가,스릴러,한국,114.0,2010.0
블라인드,2.0,3.40819,283607.0,청소년 관람불가,스릴러,한국,111.0,2011.0
스쿨 오브 락,3.0,3.79351,296312.0,전체 관람가,코미디,"미국, 독일",108.0,2003.0
500일의 썸머,5.0,3.87432,289315.0,15세 관람가,로맨틱 코미디,미국,95.0,2009.0
쇼생크 탈출,4.0,4.42741,456964.0,15세 관람가,드라마,미국,142.0,1994.0
러브 레터,5.0,3.97103,225600.0,전체 관람가,로맨스/멜로,일본,117.0,1995.0
범죄와의 전쟁 : 나쁜놈들 전성시대,4.0,3.99282,463375.0,청소년 관람불가,범죄,한국,133.0,2011.0
악마는 프라다를 입는다,4.0,3.83566,483744.0,12세 관람가,로맨틱 코미디,미국,109.0,2006.0
이끼,3.0,3.28881,273316.0,청소년 관람불가,스릴러,한국,163.0,2010.0
리얼 스틸,1.0,3.69244,314848.0,12세 관람가,SF,미국,127.0,2011.0
레옹,4.0,4.29233,383225.0,청소년 관람불가,범죄,"프랑스, 미국",133.0,1994.0
내가 살인범이다,2.0,3.53845,308430.0,청소년 관람불가,스릴러,한국,119.0,2012.0
말아톤,4.0,3.60102,373017.0,전체 관람가,드라마,한국,115.0,2005.0
클래식,5.0,3.85321,313581.0,12세 관람가,로맨스/멜로,한국,132.0,2003.0
아이언맨 3,4.0,4.10486,562034.0,12세 관람가,SF,"미국, 중국",129.0,2013.0
어린 신부,3.0,2.97457,340666.0,12세 관람가,로맨틱 코미디,한국,115.0,2004.0
내 아내의 모든 것,4.0,3.65453,460534.0,15세 관람가,로맨틱 코미디,한국,121.0,2012.0
