영화,내 별점(y),평균별점,평가자수,등급,장르,국가,상영시간,년도
황산벌,0.5,3.00628,174971.0,15세 관람가,코미디,한국,104.0,2003.0
생활의 발견,2.0,3.25486,24290.0,청소년 관람불가,로맨스/멜로,한국,115.0,2002.0
맨발의 꿈,2.0,3.32487,23911.0,전체 관람가,드라마,"한국, 일본",121.0,2010.0
"그 시절, 우리가 좋아했던 소녀",2.5,3.98496,208548.0,15세 관람가,로맨스/멜로,대만,107.0,2011.0
박수건달,1.0,2.96825,232511.0,15세 관람가,코미디,한국,127.0,2012.0
꽃보다 남자,2.5,2.78668,36673.0,12세 관람가,로맨스/멜로,일본,130.0,2008.0
어메이징 스파이더맨 2,3.5,3.58656,184298.0,12세 관람가,액션,미국,142.0,2014.0
무간도 3 - 종극무간,5.0,3.73584,34305.0,15세 관람가,범죄,홍콩,117.0,2003.0
해롤드와 쿠마,3.0,3.46281,14802.0,청소년 관람불가,코미디,"미국, 캐나다",87.0,2004.0
나 홀로 집에 3,3.0,3.27461,174209.0,전체 관람가,코미디,미국,102.0,1997.0
해결사,2.5,2.82631,35137.0,15세 관람가,액션,한국,100.0,2010.0
렛 미 인,4.0,3.46239,55417.0,15세 관람가,공포,"영국, 미국",116.0,2010.0
내가 널 사랑할 수 없는 10가지 이유,3.0,3.85055,51007.0,12세 관람가,로맨틱 코미디,미국,97.0,1999.0
즐거운 인생,2.0,3.15776,47647.0,전체 관람가,드라마,한국,112.0,2007.0
사탄의 인형,3.0,3.18125,85999.0,15세 관람가,공포,미국,87.0,1988.0
무간도 2 - 혼돈의 시대,5.0,3.73762,42905.0,15세 관람가,범죄,홍콩,103.0,2003.0
원초적 본능,4.0,3.48095,48997.0,청소년 관람불가,스릴러,미국,123.0,1992.0
행오버 2,3.0,3.34124,55910.0,청소년 관람불가,코미디,미국,102.0,2011.0
구르믈 버서난 달처럼,3.0,3.05825,73643.0,15세 관람가,드라마,한국,111.0,2010.0
순정만화,2.0,2.91054,62310.0,12세 관람가,로맨틱 코미디,한국,113.0,2008.0
용서받지 못한 자,3.0,3.59378,57211.0,15세 관람가,드라마,한국,121.0,2005.0
용의자,1.0,3.31001,112462.0,15세 관람가,액션,한국,137.0,2013.0
더 리더 - 책 읽어주는 남자,3.0,3.64524,71337.0,청소년 관람불가,로맨스/멜로,"미국, 독일",123.0,2008.0
행운을 돌려줘,3.0,3.31421,69377.0,12세 관람가,로맨틱 코미디,미국,102.0,2006.0
서양골동양과자점 앤티크,2.0,2.81486,116429.0,15세 관람가,드라마,한국,109.0,2008.0
시실리 2km,3.0,2.78675,98560.0,15세 관람가,코미디,한국,109.0,2004.0
