영화,내 별점(y),평균별점,이동진 별점,평가자수,보고싶어요수,코멘트수,감독,배우,등급,장르,국가,상영시간,년도,별점분포,이동진 코멘트
해롤드와 쿠마,3.0,3.46281,,"14,818","2,116",226,대니 레이너,"[존 조, 칼 펜, 폴라 가시스]",청소년 관람불가,코미디,"미국, 캐나다",87.0,2004.0,"{""1"":101,""2"":507,""3"":176,""4"":1203,""5"":622,""6"":3522,""7"":1853,""8"":4387,""9"":614,""10"":1833}",
나 홀로 집에 3,3.0,3.27461,,"175,265",916,707,라자 고스넬,"[레니 본 돌렌, 마리안 셀즈, 리아 킬스테트]",전체 관람가,코미디,미국,102.0,1997.0,"{""1"":2520,""2"":6206,""3"":4330,""4"":17921,""5"":12737,""6"":46014,""7"":20903,""8"":39197,""9"":5553,""10"":19884}",
해결사,2.5,2.82631,,"35,242",929,190,권혁재,"[설경구, 이정진, 오달수]",15세 관람가,액션,한국,100.0,2010.0,"{""1"":511,""2"":2464,""3"":1067,""4"":6518,""5"":3047,""6"":12120,""7"":2851,""8"":4883,""9"":297,""10"":1484}",
렛 미 인,4.0,3.46239,,"55,614","8,694",761,맷 리브스,"[클로이 모레츠, 코디 스밋 맥피, 리차드 젠킨스]",15세 관람가,공포,"영국, 미국",116.0,2010.0,"{""1"":357,""2"":1429,""3"":606,""4"":3980,""5"":2595,""6"":14048,""7"":8084,""8"":16067,""9"":2660,""10"":5788}",
내가 널 사랑할 수 없는 10가지 이유,3.0,3.85055,,"51,157","15,118","1,006",길 정거,"[히스 레저, 수잔 메이 플랫, 줄리아 스타일즈]",12세 관람가,로맨틱 코미디,미국,97.0,1999.0,"{""1"":112,""2"":632,""3"":201,""4"":1676,""5"":1115,""6"":9097,""7"":6440,""8"":17346,""9"":4110,""10"":10428}",
즐거운 인생,2.0,3.15776,,"47,813","1,106",314,이준익,"[정진영, 김윤석, 장근석]",전체 관람가,드라마,한국,112.0,2007.0,"{""1"":345,""2"":1751,""3"":812,""4"":5533,""5"":3366,""6"":16086,""7"":5635,""8"":10586,""9"":1008,""10"":2691}",
사탄의 인형,3.0,3.18125,,"86,266",702,514,톰 홀랜드,"[캐서린 힉스, 크리스 서랜던, 알렉스 빈센트]",15세 관람가,공포,미국,87.0,1988.0,"{""1"":2249,""2"":4493,""3"":1735,""4"":8351,""5"":4429,""6"":23368,""7"":11688,""8"":21119,""9"":2491,""10"":6343}",
무간도 2 - 혼돈의 시대,5.0,3.73762,,"42,968","3,030",325,유위강,"[황추생, 증지위, 유가령]",15세 관람가,범죄,홍콩,103.0,2003.0,"{""1"":131,""2"":1132,""3"":197,""4"":2434,""5"":872,""6"":8658,""7"":4105,""8"":14252,""9"":2458,""10"":8729}",
원초적 본능,4.0,3.48095,,"49,078","5,140",376,폴 버호벤,"[마이클 더글라스, 샤론 스톤, 조지 던자]",청소년 관람불가,스릴러,미국,123.0,1992.0,"{""1"":147,""2"":1071,""3"":339,""4"":3562,""5"":1467,""6"":14207,""7"":6110,""8"":15625,""9"":1703,""10"":4847}",
행오버 2,3.0,3.34124,,"56,110","3,295",446,토드 필립스,"[브래들리 쿠퍼, 에드 헬름스, 자흐 갈리피아나키스]",청소년 관람불가,코미디,미국,102.0,2011.0,"{""1"":488,""2"":1760,""3"":874,""4"":5465,""5"":3479,""6"":15243,""7"":6671,""8"":14433,""9"":1583,""10"":6114}",
구르믈 버서난 달처럼,3.0,3.05825,,"74,057","2,808",590,이준익,"[차승원, 한지혜, 백성현]",15세 관람가,드라마,한국,111.0,2010.0,"{""1"":937,""2"":2768,""3"":1844,""4"":9599,""5"":6761,""6"":24015,""7"":9204,""8"":13837,""9"":1487,""10"":3606}",
순정만화,2.0,2.91054,,"62,482","1,325",444,류장하,"[박혜진, 김해자, 손지효]",12세 관람가,로맨틱 코미디,한국,113.0,2008.0,"{""1"":1091,""2"":3897,""3"":2025,""4"":10371,""5"":5504,""6"":19465,""7"":5774,""8"":10019,""9"":1002,""10"":3334}",
용서받지 못한 자,3.0,3.59378,,"57,372","6,038",852,윤종빈,"[하정우, 서장원, 윤종빈]",15세 관람가,드라마,한국,121.0,2005.0,"{""1"":249,""2"":1359,""3"":356,""4"":3352,""5"":1403,""6"":12624,""7"":8042,""8"":20221,""9"":3585,""10"":6181}",
용의자,1.0,3.31001,,"113,276","4,123","1,840",원신연,"[공유, 박희순, 조성하]",15세 관람가,액션,한국,137.0,2013.0,"{""1"":1234,""2"":2714,""3"":2263,""4"":9511,""5"":8874,""6"":30599,""7"":17918,""8"":26290,""9"":4057,""10"":9816}",
더 리더 - 책 읽어주는 남자,3.0,3.64524,,"71,552","17,666",986,스티븐 달드리,"[랄프 파인즈, 자넷 헤인, 데이빗 크로스]",청소년 관람불가,로맨스/멜로,"미국, 독일",123.0,2008.0,"{""1"":200,""2"":1454,""3"":408,""4"":4107,""5"":1913,""6"":15844,""7"":9416,""8"":23360,""9"":5030,""10"":9820}",
행운을 돌려줘,3.0,3.31421,,"69,624","4,270",404,도날드 페트리,"[린제이 로한, 크리스 파인, 페이즌 러브]",12세 관람가,로맨틱 코미디,미국,102.0,2006.0,"{""1"":300,""2"":2007,""3"":885,""4"":6158,""5"":3944,""6"":22162,""7"":8855,""8"":18206,""9"":1543,""10"":5564}",
서양골동양과자점 앤티크,2.0,2.81486,3.5,"117,293","2,122",655,민규동,"[주지훈, 유아인, 김재욱]",15세 관람가,드라마,한국,109.0,2008.0,"{""1"":3513,""2"":7599,""3"":4993,""4"":18488,""5"":12307,""6"":34673,""7"":12985,""8"":16685,""9"":1704,""10"":4346}",상처를 다뤄내는 한국영화의 새로운 감각.
시실리 2km,3.0,2.78675,,"98,890",622,424,신정원,"[임창정, 권오중, 임은경]",15세 관람가,코미디,한국,109.0,2004.0,"{""1"":2853,""2"":7749,""3"":3938,""4"":17666,""5"":8310,""6"":28275,""7"":10123,""8"":15074,""9"":1358,""10"":3544}",
착신아리,1.0,2.57139,,"80,766",562,398,미이케 다카시,"[시바사키 코우, 츠츠미 신이치, 후키이시 카즈에]",12세 관람가,공포,일본,112.0,2003.0,"{""1"":3665,""2"":11234,""3"":3002,""4"":15653,""5"":5759,""6"":21913,""7"":5722,""8"":9998,""9"":807,""10"":3013}",
화산고,1.0,2.42466,,"128,100",380,675,김태균,"[장혁, 신민아, 허준호]",12세 관람가,액션,한국,121.0,2001.0,"{""1"":7536,""2"":15841,""3"":7724,""4"":27679,""5"":12931,""6"":32547,""7"":9232,""8"":10862,""9"":887,""10"":2861}",
오션스 트웰브,2.0,3.64181,,"92,122","5,650",394,스티븐 소더버그,"[돈 치들, 베니 맥, 조지 클루니]",12세 관람가,액션,"미국, 오스트레일리아",125.0,2004.0,"{""1"":262,""2"":1063,""3"":609,""4"":4384,""5"":3440,""6"":22105,""7"":12537,""8"":30841,""9"":3941,""10"":12940}",
차우,2.0,2.52071,,"98,199",448,587,신정원,"[엄태웅, 정유미, 장항선]",12세 관람가,스릴러,한국,121.0,2009.0,"{""1"":4004,""2"":10807,""3"":5145,""4"":21843,""5"":9601,""6"":27555,""7"":6661,""8"":9302,""9"":665,""10"":2616}",
색즉시공 시즌 2,1.0,2.4344,,"86,102",382,290,윤태윤,"[임창정, 송지효, 신이]",청소년 관람불가,코미디,한국,115.0,2007.0,"{""1"":4575,""2"":13352,""3"":4548,""4"":19742,""5"":6062,""6"":20890,""7"":4089,""8"":8419,""9"":583,""10"":3842}",
남자사용설명서,2.0,2.87442,,"113,197","3,591","1,474",이원석,"[김준성, 이시영, 오정세]",15세 관람가,코미디,한국,116.0,2012.0,"{""1"":3981,""2"":9899,""3"":4079,""4"":16481,""5"":8306,""6"":28574,""7"":13403,""8"":20210,""9"":2518,""10"":5746}",
흡혈형사 나도열,1.0,2.17266,,"63,642",129,395,이시명,"[김수로, 조여정, 천호진]",12세 관람가,코미디,한국,110.0,2006.0,"{""1"":2897,""2"":12791,""3"":3369,""4"":19100,""5"":4112,""6"":15099,""7"":1645,""8"":3670,""9"":98,""10"":861}",
블러드 다이아몬드,2.0,3.72187,,"79,676","11,815",707,에드워드 즈윅,"[레오나르도 디카프리오, 제니퍼 코넬리, 자이몬 훈수]",청소년 관람불가,액션,"미국, 독일",142.0,2006.0,"{""1"":130,""2"":1200,""3"":282,""4"":3465,""5"":1556,""6"":17415,""7"":9366,""8"":29659,""9"":5277,""10"":11326}",
우리 형,2.0,3.32089,,"116,485","2,997",380,안권태,"[원빈, 신하균, 김해숙]",15세 관람가,드라마,한국,112.0,2004.0,"{""1"":605,""2"":2193,""3"":1472,""4"":9564,""5"":7114,""6"":38692,""7"":16011,""8"":29435,""9"":3275,""10"":8124}",
주먹이 운다,3.0,3.46737,,"89,884","4,603",613,류승완,"[최민식, 류승범, 기주봉]",15세 관람가,드라마,한국,134.0,2005.0,"{""1"":371,""2"":1850,""3"":712,""4"":6207,""5"":3449,""6"":26500,""7"":11705,""8"":26676,""9"":3378,""10"":9036}",
장고:분노의 추적자,4.0,3.80887,4.5,"102,247","22,738","2,703",쿠엔틴 타란티노,"[제이미 폭스, 레오나르도 디카프리오, 크리스토프 왈츠]",청소년 관람불가,액션,미국,165.0,2012.0,"{""1"":384,""2"":1958,""3"":581,""4"":4812,""5"":2205,""6"":16705,""7"":11003,""8"":34557,""9"":11665,""10"":18377}",타란티노 작품들은 멋진 영화와 끝내주는 영화로 나뉜다. 이번엔 후자.
킹콩을 들다,3.0,3.21284,,"95,130","1,158",328,박건용,"[이범수, 조안, 이윤회]",전체 관람가,코미디,한국,120.0,2009.0,"{""1"":840,""2"":3699,""3"":1516,""4"":10502,""5"":5629,""6"":30305,""7"":10706,""8"":22771,""9"":2238,""10"":6924}",
천녀유혼,4.0,3.84526,,"87,674","3,424",429,정소동,"[장국영, 왕조현, 우마]",15세 관람가,판타지,홍콩,98.0,1987.0,"{""1"":203,""2"":1605,""3"":313,""4"":3329,""5"":1296,""6"":16202,""7"":7930,""8"":32979,""9"":4653,""10"":19164}",
홀리데이,1.0,3.31544,,"82,905","2,538",353,양윤호,"[최민수, 이성재, 김동현]",청소년 관람불가,범죄,한국,120.0,2005.0,"{""1"":435,""2"":3537,""3"":884,""4"":9239,""5"":3411,""6"":25210,""7"":7132,""8"":21991,""9"":2176,""10"":8890}",
비포 선셋,4.0,3.95738,4.5,"108,052","29,458","1,330",리처드 링클레이터,"[에단 호크, 줄리 델피, 마리안느 플라스테그]",15세 관람가,로맨스/멜로,미국,79.0,2004.0,"{""1"":357,""2"":2110,""3"":380,""4"":3846,""5"":1619,""6"":15892,""7"":9239,""8"":35230,""9"":9682,""10"":29697}",숲을 이루지 못한 꽃은 외롭고 숲을 이룬 꽃은 시든다.
머니볼,3.0,3.74997,4.5,"114,191","15,399","1,770",베넷 밀러,"[브래드 피트, 필립 세이모어 호프만, 케리스 도시]",12세 관람가,드라마,미국,132.0,2011.0,"{""1"":449,""2"":2208,""3"":515,""4"":4639,""5"":2327,""6"":21084,""7"":13793,""8"":42889,""9"":9295,""10"":16992}",내가 본 최고의 야구(소재)영화.
스타쉽 트루퍼스,4.0,3.58555,,"97,401","1,683",642,폴 버호벤,"[데니스 리차드, 캐스퍼 반 디엔, 디나 메이어]",청소년 관람불가,SF,미국,129.0,1997.0,"{""1"":351,""2"":2364,""3"":675,""4"":6324,""5"":2784,""6"":23987,""7"":10703,""8"":32368,""9"":4060,""10"":13785}",
사생결단,3.0,3.53615,,"87,959","3,494",366,최호,"[황정민, 류승범, 추자현]",청소년 관람불가,범죄,한국,117.0,2006.0,"{""1"":314,""2"":2383,""3"":506,""4"":5948,""5"":2363,""6"":23790,""7"":9071,""8"":29805,""9"":2627,""10"":11152}",
토탈 리콜,4.0,3.36722,,"117,431","7,328",775,렌 와이즈먼,"[콜린 파렐, 케이트 베킨세일, 제시카 비엘]",15세 관람가,SF,"미국, 캐나다",118.0,2012.0,"{""1"":805,""2"":3458,""3"":1495,""4"":10663,""5"":6086,""6"":33045,""7"":14334,""8"":32439,""9"":3676,""10"":11430}",
님은 먼곳에,2.0,3.04446,,"116,814","1,989",368,이준익,"[수애, 정진영, 정경호]",15세 관람가,드라마,한국,126.0,2008.0,"{""1"":1061,""2"":5288,""3"":2209,""4"":16748,""5"":7917,""6"":41670,""7"":12279,""8"":22080,""9"":1720,""10"":5842}",
위대한 개츠비,4.0,3.72026,,"190,124","31,434","3,389",바즈 루어만,"[레오나르도 디카프리오, 캐리 멀리건, 조엘 에저튼]",15세 관람가,드라마,"미국, 오스트레일리아",141.0,2013.0,"{""1"":668,""2"":2413,""3"":1221,""4"":7999,""5"":7143,""6"":37369,""7"":28262,""8"":59583,""9"":15535,""10"":29931}",
지구를 지켜라!,3.0,3.40216,,"120,247","10,781","1,631",장준환,"[신하균, 백윤식, 기주봉]",청소년 관람불가,스릴러,한국,117.0,2003.0,"{""1"":1654,""2"":8068,""3"":1569,""4"":12058,""5"":3827,""6"":23823,""7"":10957,""8"":33385,""9"":7504,""10"":17402}",
쥬라기 공원 2 - 잃어버린 세계,4.0,3.62094,,"138,640","1,832",425,스티븐 스필버그,"[제프 골드브럼, 줄리안 무어, 피트 포스틀스웨이트]",전체 관람가,SF,미국,134.0,1997.0,"{""1"":426,""2"":2089,""3"":940,""4"":7964,""5"":4378,""6"":35197,""7"":16099,""8"":45553,""9"":5358,""10"":20636}",
에반 올마이티,3.0,3.36074,,"133,018","2,659",490,톰 새디악,"[스티브 카렐, 모건 프리먼, 조나 힐]",전체 관람가,코미디,미국,95.0,2007.0,"{""1"":615,""2"":3373,""3"":1533,""4"":11772,""5"":7223,""6"":40825,""7"":15970,""8"":35767,""9"":3364,""10"":12576}",
복면 달호,1.0,2.89311,,"142,638",475,369,김현수,"[차태현, 임채무, 이소연]",12세 관람가,코미디,한국,114.0,2007.0,"{""1"":2209,""2"":9344,""3"":3785,""4"":23672,""5"":10932,""6"":49232,""7"":12812,""8"":23126,""9"":1459,""10"":6068}",
쏘우 2,2.0,3.19572,,"135,184","1,152",474,대런 린 보우즈만,"[토빈 벨, 샤니 스미스, 도니 월버그]",청소년 관람불가,공포,미국,92.0,2005.0,"{""1"":3482,""2"":10528,""3"":2071,""4"":14700,""5"":5646,""6"":34273,""7"":12293,""8"":31879,""9"":3585,""10"":16727}",
용의자 X의 헌신,2.0,3.46146,,"127,241","5,715",659,니시타니 히로시,"[후쿠야마 마사하루, 시바사키 코우, 츠츠미 신이치]",12세 관람가,스릴러,일본,128.0,2008.0,"{""1"":741,""2"":4484,""3"":1134,""4"":10343,""5"":4712,""6"":33013,""7"":13838,""8"":38535,""9"":4844,""10"":15597}",
코요테 어글리,2.0,3.63367,,"137,150","4,918",441,데이빗 맥낼리,"[파이퍼 페라보, 애덤 가르시아, 마리아 벨로]",15세 관람가,로맨틱 코미디,미국,100.0,2000.0,"{""1"":421,""2"":2448,""3"":748,""4"":6761,""5"":3854,""6"":34311,""7"":15956,""8"":48126,""9"":4969,""10"":19556}",
프로메테우스,1.0,3.52886,,"152,699","10,046","1,834",리들리 스콧,"[누미 라파스, 마이클 패스벤더, 샤를리즈 테론]",청소년 관람불가,SF,미국,123.0,2012.0,"{""1"":1161,""2"":5623,""3"":1466,""4"":11883,""5"":5401,""6"":34081,""7"":17014,""8"":44825,""9"":8316,""10"":22929}",
스튜어트 리틀,3.0,3.54314,,"189,626","2,907",463,롭 민코프,"[지나 데이비스, 휴 로리, 조나단 립니키]",전체 관람가,코미디,미국,82.0,1999.0,"{""1"":475,""2"":2863,""3"":1083,""4"":10237,""5"":6077,""6"":54740,""7"":25520,""8"":62156,""9"":6100,""10"":20375}",
아이스 에이지,3.0,3.59548,,"197,881","1,907",375,크리스 웻지,"[레이 로마노, 존 레귀자모, 데니스 리어리]",전체 관람가,애니메이션,미국,81.0,2002.0,"{""1"":475,""2"":2705,""3"":1172,""4"":10203,""5"":5895,""6"":54029,""7"":25655,""8"":65637,""9"":6643,""10"":25467}",
행복을 찾아서,3.0,3.83216,,"161,087","12,598",843,가브리엘 무치노,"[윌 스미스, 제이든 스미스, 제임스 카렌]",전체 관람가,드라마,미국,117.0,2006.0,"{""1"":416,""2"":2967,""3"":670,""4"":7016,""5"":3359,""6"":31677,""7"":14372,""8"":52979,""9"":9495,""10"":38136}",
주유소 습격사건,3.0,3.28982,,"197,341","1,493",510,김상진,"[이성재, 유오성, 강성진]",청소년 관람불가,코미디,한국,117.0,1999.0,"{""1"":1800,""2"":7436,""3"":2743,""4"":20120,""5"":9182,""6"":59400,""7"":21334,""8"":53712,""9"":4584,""10"":17030}",
아마겟돈,4.0,3.84287,,"186,844","4,811",899,마이클 베이,"[브루스 윌리스, 벤 애플렉, 리브 타일러]",12세 관람가,SF,미국,145.0,1998.0,"{""1"":420,""2"":2250,""3"":697,""4"":6757,""5"":3650,""6"":36152,""7"":18012,""8"":68713,""9"":10938,""10"":39255}",
유령 신부,2.0,3.54246,,"213,616","6,829",512,팀 버튼,"[조니 뎁, 헬레나 본햄 카터, 에밀리 왓슨]",전체 관람가,애니메이션,미국,77.0,2005.0,"{""1"":779,""2"":4649,""3"":1501,""4"":14348,""5"":7082,""6"":57846,""7"":24691,""8"":66618,""9"":7590,""10"":28512}",
쿵푸 허슬,4.0,3.57502,,"213,524","1,223","1,034",주성치,"[주성치, 조지릉, 석행우]",15세 관람가,코미디,중국,101.0,2004.0,"{""1"":1101,""2"":5551,""3"":1761,""4"":14839,""5"":6988,""6"":51046,""7"":22866,""8"":68442,""9"":8335,""10"":32595}",
김종욱 찾기,3.0,3.45187,,"232,095","9,580","1,262",장유정,"[임수정, 공유, 이청아]",12세 관람가,로맨틱 코미디,한국,112.0,2010.0,"{""1"":1354,""2"":6826,""3"":2550,""4"":19788,""5"":10277,""6"":61824,""7"":25984,""8"":64977,""9"":8623,""10"":29892}",
스텝 업,3.0,3.7541,,"276,610","8,426",632,앤 플레쳐,"[채닝 테이텀, 제나 드완, 드류 시도라]",12세 관람가,드라마,미국,103.0,2006.0,"{""1"":1083,""2"":4355,""3"":1795,""4"":12890,""5"":7602,""6"":60254,""7"":27703,""8"":90487,""9"":11814,""10"":58627}",
토이 스토리 2,4.0,3.90385,,"280,872","5,032",800,존 라세터,"[톰 행크스, 팀 알렌, 조앤 쿠삭]",전체 관람가,애니메이션,미국,92.0,1999.0,"{""1"":535,""2"":2745,""3"":914,""4"":9382,""5"":4504,""6"":52117,""7"":25743,""8"":100928,""9"":15961,""10"":68043}",
마스크,3.0,3.76103,,"288,726","5,428","1,052",척 러셀,"[짐 캐리, 피터 리거트, 피터 그린]",,코미디,미국,97.0,1994.0,"{""1"":794,""2"":3970,""3"":1262,""4"":11854,""5"":6087,""6"":62354,""7"":30730,""8"":105412,""9"":13810,""10"":52453}",
나 홀로 집에 2 - 뉴욕을 헤매다,4.0,3.84159,,"357,583","1,589","1,047",크리스 콜럼버스,"[맥컬리 컬킨, 조 페시, 다니엘 스턴]",전체 관람가,코미디,미국,115.0,1992.0,"{""1"":851,""2"":3731,""3"":1642,""4"":13347,""5"":8242,""6"":70299,""7"":37281,""8"":123546,""9"":18113,""10"":80531}",
라이온 킹,3.0,4.09618,,"328,892","6,738","1,398",로저 알러스,"[김선우, 오승윤, 장세준]",전체 관람가,애니메이션,미국,89.0,1994.0,"{""1"":551,""2"":2783,""3"":756,""4"":7091,""5"":3533,""6"":44202,""7"":23204,""8"":115418,""9"":24705,""10"":106649}",
쿵푸팬더 2,1.0,3.56948,,"316,168","2,674",791,여인영,"[잭 블랙, 더스틴 호프만, 성룡]",전체 관람가,애니메이션,미국,91.0,2011.0,"{""1"":970,""2"":5828,""3"":2323,""4"":22149,""5"":10638,""6"":86933,""7"":32115,""8"":96816,""9"":8999,""10"":49397}",
라따뚜이,2.0,3.90903,,"361,209","8,274","1,645",브래드 버드,"[패튼 오스왈트, 루 로마노, 이안 홈]",전체 관람가,애니메이션,미국,115.0,2007.0,"{""1"":671,""2"":3488,""3"":1246,""4"":10714,""5"":6103,""6"":63177,""7"":36582,""8"":132362,""9"":23233,""10"":83633}",
슈렉,2.0,3.77229,,"404,948","1,493",877,빅키 젠슨,"[장광, 마이크 마이어스, 에디 머피]",전체 관람가,애니메이션,미국,90.0,2001.0,"{""1"":812,""2"":3983,""3"":1589,""4"":14046,""5"":8131,""6"":88537,""7"":45216,""8"":155592,""9"":18269,""10"":68773}",
캡틴 아메리카: 윈터 솔져,4.0,3.90476,,"229,946","10,133","4,254",안소니 루소,"[크리스 에반스, 스칼렛 요한슨, 사무엘 L. 잭슨]",15세 관람가,액션,미국,136.0,2014.0,"{""1"":866,""2"":1674,""3"":1317,""4"":5280,""5"":6316,""6"":30361,""7"":36601,""8"":76109,""9"":26625,""10"":44797}",
피아니스트,4.0,4.14627,,"224,402","30,952","1,701",로만 폴란스키,"[애드리언 브로디, 토머스 크레취만, 에드 스톱파드]",12세 관람가,드라마,"프랑스, 독일, 폴란드, 영국, 네덜란드",148.0,2002.0,"{""1"":428,""2"":2482,""3"":445,""4"":5021,""5"":1936,""6"":25225,""7"":13886,""8"":75697,""9"":22542,""10"":76740}",
하녀,3.0,2.90579,,"222,417","2,817",964,임상수,"[전도연, 이정재, 윤여정]",청소년 관람불가,스릴러,한국,106.0,2010.0,"{""1"":3093,""2"":13671,""3"":5979,""4"":38591,""5"":17565,""6"":74076,""7"":21984,""8"":33971,""9"":3173,""10"":10314}",
퍼시픽 림,1.0,3.23299,,"150,186","5,959","2,865",길예르모 델 토로,"[키쿠치 린코, 찰리 헌냄, 론 펄먼]",12세 관람가,SF,미국,131.0,2013.0,"{""1"":2783,""2"":6730,""3"":3423,""4"":16050,""5"":9856,""6"":38329,""7"":18456,""8"":34288,""9"":5103,""10"":15168}",
월드워Z,2.0,3.67118,,"314,712","9,606","3,458",마크 포스터,"[브래드 피트, 미레일 에노스, 다니엘라 케르테스]",15세 관람가,SF,미국,115.0,2013.0,"{""1"":1394,""2"":4237,""3"":2315,""4"":14563,""5"":11214,""6"":67082,""7"":44917,""8"":104420,""9"":18499,""10"":46071}",
감시자들,2.0,3.52199,,"294,764","6,601","2,435",조의석,"[설경구, 정우성, 한효주]",15세 관람가,액션,한국,119.0,2013.0,"{""1"":1430,""2"":4079,""3"":3194,""4"":15924,""5"":15516,""6"":75131,""7"":47596,""8"":87296,""9"":12406,""10"":32192}",
더 테러 라이브,3.0,3.56791,,"400,527","7,870","4,016",김병우,"[하정우, 이경영, 전혜진]",15세 관람가,스릴러,한국,97.0,2013.0,"{""1"":2014,""2"":6553,""3"":3518,""4"":22514,""5"":16634,""6"":95649,""7"":58562,""8"":128247,""9"":19290,""10"":47546}",
은밀하게 위대하게,2.0,3.25676,,"482,992","4,293","3,248",장철수,"[김수현, 박기웅, 이현우]",15세 관람가,액션,한국,123.0,2013.0,"{""1"":10821,""2"":23200,""3"":12915,""4"":51857,""5"":32443,""6"":117247,""7"":49604,""8"":102370,""9"":14406,""10"":68129}",
관상,4.0,3.65164,,"492,065","10,601","3,834",한재림,"[송강호, 이정재, 백윤식]",15세 관람가,드라마,한국,139.0,2013.0,"{""1"":1993,""2"":5647,""3"":4218,""4"":21956,""5"":21120,""6"":108878,""7"":72175,""8"":158930,""9"":28348,""10"":68800}",
옹박 - 무에타이의 후예,2.0,3.19149,,"109,104",506,346,프라챠 핀카엡,"[토니 자, 춤폰 테피탁, 렁그라위 바이진다쿨]",15세 관람가,액션,태국,100.0,2003.0,"{""1"":963,""2"":5416,""3"":1590,""4"":13293,""5"":5217,""6"":35225,""7"":10565,""8"":25607,""9"":1933,""10"":9295}",
그래비티,5.0,3.97311,5.0,"339,236","26,815","7,847",알폰소 쿠아론,"[산드라 블록, 조지 클루니, 오르토 이그나티우센]",12세 관람가,SF,"미국, 영국",90.0,2013.0,"{""1"":2196,""2"":5965,""3"":2364,""4"":12637,""5"":7266,""6"":44082,""7"":31288,""8"":95696,""9"":39484,""10"":98258}",어떤 영화는 관람이 아니라 체험된다. 경이롭다.
변호인,4.0,4.20167,,"525,890","14,524","5,646",양우석,"[송강호, 오달수, 곽도원]",15세 관람가,드라마,한국,127.0,2013.0,"{""1"":2733,""2"":4781,""3"":1546,""4"":7381,""5"":7081,""6"":46054,""7"":45914,""8"":152660,""9"":60480,""10"":197260}",
월터의 상상은 현실이 된다,5.0,3.77627,,"165,914","29,303","5,223",벤 스틸러,"[숀 펜, 벤 스틸러, 크리스튼 위그]",12세 관람가,드라마,미국,114.0,2013.0,"{""1"":1154,""2"":2360,""3"":1674,""4"":6488,""5"":6383,""6"":25493,""7"":25553,""8"":48599,""9"":18837,""10"":29373}",
플랜맨,3.0,2.98593,,"68,780","3,181","1,456",성시흡,"[정재영, 한지민, 장광]",15세 관람가,코미디,한국,115.0,2013.0,"{""1"":1684,""2"":3149,""3"":2903,""4"":8278,""5"":7816,""6"":18165,""7"":10324,""8"":11070,""9"":1883,""10"":3508}",
사이드 이펙트,4.0,3.28288,,"12,413","6,384",435,스티븐 소더버그,"[주드 로, 채닝 테이텀, 루니 마라]",청소년 관람불가,스릴러,미국,106.0,2013.0,"{""1"":64,""2"":343,""3"":136,""4"":883,""5"":825,""6"":3792,""7"":2390,""8"":3116,""9"":363,""10"":501}",
결혼전야,3.0,3.08538,,"49,978","3,793",805,홍지영,"[김강우, 김효진, 옥택연]",15세 관람가,로맨틱 코미디,한국,118.0,2013.0,"{""1"":1037,""2"":2188,""3"":1738,""4"":5674,""5"":4739,""6"":13525,""7"":6473,""8"":9976,""9"":1265,""10"":3363}",
어바웃 타임,5.0,4.2667,,"449,950","23,543","8,429",리처드 커티스,"[도널 글리슨, 레이첼 맥아담스, 린제이 던칸]",15세 관람가,로맨스/멜로,영국,123.0,2013.0,"{""1"":875,""2"":2417,""3"":1211,""4"":6228,""5"":5587,""6"":37333,""7"":36312,""8"":120601,""9"":59340,""10"":180046}",
집으로 가는 길,3.0,3.63746,,"59,763","6,291","1,160",방은진,"[전도연, 고수, 강지우]",15세 관람가,드라마,한국,131.0,2013.0,"{""1"":397,""2"":912,""3"":635,""4"":2659,""5"":3026,""6"":11839,""7"":10008,""8"":17307,""9"":4488,""10"":8492}",
짝패,3.0,3.33946,4.0,"112,837","2,132",688,류승완,"[류승완, 정두홍, 이범수]",청소년 관람불가,액션,한국,92.0,2006.0,"{""1"":683,""2"":4256,""3"":1084,""4"":11623,""5"":4358,""6"":34068,""7"":11143,""8"":31717,""9"":2318,""10"":11587}","만들고 싶은, 만들 수 밖에 없는, 만들어서 모두가 좋은."
데자뷰,3.0,3.62249,,"79,049","7,937",436,토니 스콧,"[덴젤 워싱턴, 발 킬머, 폴라 패튼]",12세 관람가,SF,미국,126.0,2006.0,"{""1"":146,""2"":1230,""3"":298,""4"":4088,""5"":1987,""6"":20653,""7"":9132,""8"":28220,""9"":3643,""10"":9652}",
똥파리,3.0,3.6646,4.0,"116,032","10,848",972,양익준,"[양익준, 김꽃비, 이환]",청소년 관람불가,드라마,한국,130.0,2008.0,"{""1"":892,""2"":4176,""3"":910,""4"":7409,""5"":2580,""6"":22367,""7"":10509,""8"":38338,""9"":7265,""10"":21586}",모든 장면에 다이너마이트가 장착되어 있다.
수상한 고객들,3.0,3.10074,,"79,686","2,132",374,조진모,"[류승범, 성동일, 박철민]",15세 관람가,코미디,한국,124.0,2011.0,"{""1"":710,""2"":4031,""3"":1377,""4"":10915,""5"":4938,""6"":26128,""7"":7819,""8"":17453,""9"":1389,""10"":4926}",
디스 민즈 워,3.0,3.44805,,"124,991","7,021","1,194",맥지,"[톰 하디, 리즈 위더스푼, 크리스 파인]",15세 관람가,로맨틱 코미디,미국,97.0,2012.0,"{""1"":627,""2"":3465,""3"":1300,""4"":9564,""5"":5814,""6"":32880,""7"":16510,""8"":36605,""9"":4826,""10"":13400}",
