0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
6031,6094,22036,11816,38023,12028,59923,1881,35625,15021
1611,2695,7978,5224,17459,3172,20102,300,6348,1686
1043,1173,5123,4463,10993,23660,51755,47656,148340,281824
1419,3285,8618,16162,33362,48925,130682,11524,120836,45151
893,1429,4599,7441,13954,36906,77279,19370,147910,106501
2710,2919,11572,12423,27399,42216,107641,16536,133581,66059
2897,4927,13373,17560,39823,32867,107866,6798,82527,29793
1522,2599,6969,11974,21753,40773,88534,14427,113389,64259
1479,2327,7650,10449,23106,44037,106828,22995,184654,118323
3329,5344,15236,16870,39005,25588,89167,5577,63409,28173
1546,1801,12635,4288,18546,4781,31658,439,16747,3778
2972,3068,18355,4736,23289,3631,26537,267,10722,2922
3263,3825,16085,8455,28574,7748,42357,759,16999,3944
868,964,4636,4010,10068,27600,54166,40152,159996,142023
1151,1126,6570,3971,12171,20815,51167,28800,120551,168484
499,807,2942,4044,9780,22697,52934,9642,91123,34842
1587,2067,7865,7182,19400,26033,71911,16011,118161,93436
1882,2505,9172,10003,24094,38245,98040,18338,152691,80465
1614,2352,8362,9718,24051,42770,102782,30803,190456,146026
1652,2963,7033,14076,22685,57574,113359,37375,219030,194091
1043,1206,4830,5295,10951,30629,53846,42509,153405,189470
1458,2482,6782,12546,25300,55778,128133,21427,190700,74434
5893,7585,20398,24478,48253,50865,137341,17069,145619,88832
2135,3790,10281,17071,35486,50570,131004,13536,138293,51467
1705,2293,8082,9164,19732,45081,82626,42617,188921,207380
1876,3822,7858,17232,28382,51469,108951,13327,122862,43894
1735,2773,7206,13479,22228,66864,119382,44691,261018,195661
3132,4465,11588,14440,29448,34273,94312,12822,126691,103440
1929,3394,7782,16476,26555,60025,130039,27647,207444,118054
9289,10270,28242,29755,65440,52145,168067,15737,152374,75178
1789,2822,8421,12377,28120,61250,132704,45887,250987,134671
1980,3370,9107,17053,31241,64197,147146,27592,232534,123523
1773,2720,8931,11836,28756,52473,126208,31277,205462,106738
1780,2773,6653,13707,19218,64363,104992,51875,254822,220435
7418,6659,16716,18252,32781,47612,94642,46504,183835,264227
2414,4207,8829,20367,31241,76738,148730,34423,243595,140070
1829,3355,7344,12887,25527,32512,85617,7965,81038,26733
2911,4867,11753,14956,31202,27829,86515,6797,75137,33053
830,1776,4077,8713,17108,35702,85251,11654,111257,55492
866,1078,3894,4560,9284,34269,59920,57238,207706,268209
664,792,3439,3622,8155,21522,40860,24174,105567,89548
599,829,4282,3894,10539,20787,40458,17404,77939,43154
695,708,3046,3291,6914,25142,41245,46248,144162,157217
906,1305,4836,5549,12228,25338,53239,24528,116785,121375
694,900,3390,4234,9629,27473,55591,21992,131500,66460
415,428,2088,2035,4293,15706,27495,16559,82502,81529
5817,8388,21666,21128,49212,21120,83282,3237,42724,15934
1550,2868,8508,11249,26329,26360,84131,7054,83611,32950
840,1236,4372,5781,12211,30984,58886,15726,110000,57360
881,1279,5666,5313,12680,27087,47612,23477,96953,69403
749,601,3589,2135,5289,15286,28854,43314,119334,239371
560,737,4162,2818,8782,15123,36934,15101,73481,68471
1008,1419,5099,6578,13383,37959,69027,31844,170676,127654
939,1584,4630,9278,16019,51499,97439,26902,179984,97248
1916,3245,9614,12825,30131,27166,85827,6469,72477,24389
1088,1966,5026,9465,17349,33556,71885,14244,104337,56940
533,614,2792,2673,5691,19824,33805,41942,114507,162324
2153,3498,8194,12583,22331,32122,74889,11681,95499,46520
1174,2050,5835,10014,20412,44313,100190,15177,128117,47757
970,1401,5735,5904,13933,25697,60021,18274,104168,78410
1198,1666,4521,8740,12696,46867,73291,37416,180392,197303
4791,7747,21333,21986,54695,26642,116168,3589,65017,19789
1717,3095,7827,14038,25019,51010,107155,18351,161720,71984
