0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
426,940,2089,4378,7964,16099,35197,5358,45553,20636
615,1533,3373,7223,11772,15970,40825,3364,35767,12576
2209,3785,9344,10932,23672,12812,49232,1459,23126,6068
3482,2071,10528,5646,14700,12293,34273,3585,31879,16727
741,1134,4484,4712,10343,13838,33013,4844,38535,15597
421,748,2448,3854,6761,15956,34311,4969,48126,19556
1161,1466,5623,5401,11883,17014,34081,8316,44825,22929
475,1083,2863,6077,10237,25520,54740,6100,62156,20375
475,1172,2705,5895,10203,25655,54029,6643,65637,25467
416,670,2967,3359,7016,14372,31677,9495,52979,38136
1800,2743,7436,9182,20120,21334,59400,4584,53712,17030
420,697,2250,3650,6757,18012,36152,10938,68713,39255
779,1501,4649,7082,14348,24691,57846,7590,66618,28512
1101,1761,5551,6988,14839,22866,51046,8335,68442,32595
1354,2550,6826,10277,19788,25984,61824,8623,64977,29892
1083,1795,4355,7602,12890,27703,60254,11814,90487,58627
535,914,2745,4504,9382,25743,52117,15961,100928,68043
794,1262,3970,6087,11854,30730,62354,13810,105412,52453
851,1642,3731,8242,13347,37281,70299,18113,123546,80531
551,756,2783,3533,7091,23204,44202,24705,115418,106649
970,2323,5828,10638,22149,32115,86933,8999,96816,49397
671,1246,3488,6103,10714,36582,63177,23233,132362,83633
812,1589,3983,8131,14046,45216,88537,18269,155592,68773
866,1317,1674,6316,5280,36601,30361,26625,76109,44797
428,445,2482,1936,5021,13886,25225,22542,75697,76740
3093,5979,13671,17565,38591,21984,74076,3173,33971,10314
2783,3423,6730,9856,16050,18456,38329,5103,34288,15168
1394,2315,4237,11214,14563,44917,67082,18499,104420,46071
1430,3194,4079,15516,15924,47596,75131,12406,87296,32192
2014,3518,6553,16634,22514,58562,95649,19290,128247,47546
10821,12915,23200,32443,51857,49604,117247,14406,102370,68129
1993,4218,5647,21120,21956,72175,108878,28348,158930,68800
963,1590,5416,5217,13293,10565,35225,1933,25607,9295
2196,2364,5965,7266,12637,31288,44082,39484,95696,98258
2733,1546,4781,7081,7381,45914,46054,60480,152660,197260
1154,1674,2360,6383,6488,25553,25493,18837,48599,29373
1684,2903,3149,7816,8278,10324,18165,1883,11070,3508
64,136,343,825,883,2390,3792,363,3116,501
1037,1738,2188,4739,5674,6473,13525,1265,9976,3363
875,1211,2417,5587,6228,36312,37333,59340,120601,180046
397,635,912,3026,2659,10008,11839,4488,17307,8492
683,1084,4256,4358,11623,11143,34068,2318,31717,11587
146,298,1230,1987,4088,9132,20653,3643,28220,9652
892,910,4176,2580,7409,10509,22367,7265,38338,21586
710,1377,4031,4938,10915,7819,26128,1389,17453,4926
627,1300,3465,5814,9564,16510,32880,4826,36605,13400
544,1158,3124,6211,10868,21236,49148,6783,58424,20914
1759,2443,7028,8513,17793,18632,49106,5395,49502,21655
1447,1946,7289,5035,14278,6921,23132,1381,15209,4875
508,989,2993,4540,7491,15488,29589,5432,37986,16614
120,181,1463,803,2349,5756,8660,4872,19978,12810
501,977,3489,3717,10322,5617,25816,819,15308,4741
1450,2355,6826,7675,18420,13693,44787,2218,31154,9339
974,1075,4642,3202,8215,8473,18991,3116,22535,10593
2212,4257,9703,12823,28148,19001,64014,3119,42163,12808
340,270,2858,783,3064,3704,8584,3550,18465,21680
655,947,3187,3371,8202,13194,27744,7054,41047,22550
160,330,1788,1486,3347,6622,11817,3392,18903,10032
448,743,2464,3700,7259,16871,35850,6245,54104,27611
3285,4130,13172,10743,28545,23717,62381,8282,55504,18401
774,1205,3333,4789,8179,16403,28585,7102,42447,24137
527,885,2940,4572,8498,20294,40635,9844,62362,32229
3234,4692,14500,10693,28075,10405,41897,1174,18731,5048
347,420,2791,1761,5634,8794,19640,6539,31280,16105
448,706,2410,4161,7662,24004,48750,9280,81196,45658
671,854,3806,3593,8807,14088,34765,5997,51062,34143
4576,3875,15363,8515,22830,16307,43684,5172,38943,18298
351,361,2359,1333,3589,10389,17293,16840,59361,68351
618,1204,3477,4930,10339,9776,32512,2471,28856,14132
7009,6624,19579,16727,36507,33573,89463,13648,103656,92138
122,196,1533,853,2869,5135,9515,3163,17457,8006
1346,2255,5507,7513,15334,15957,44156,3846,40407,14388
485,1132,3396,4834,10246,10945,31365,2125,24822,8326
2401,4214,11252,11873,28276,16851,59610,2289,34518,10695
2002,3415,8323,9622,20772,13367,45587,2536,27774,11433
10034,10134,34190,19020,55424,16299,81644,3217,45254,24370
603,915,3233,4707,8567,27569,49420,20650,110151,85830
686,1102,3252,5407,9834,31679,60537,25588,138958,120866
976,1571,4794,6712,12545,27157,44753,14015,66652,40009
291,386,2212,1724,4668,9466,19797,6202,35404,20334
1725,2914,7316,7763,18406,10249,36027,1890,24357,9708
1037,2236,5598,8911,18693,22530,59357,7141,57697,23513
2244,3023,10261,10582,23784,31383,75239,9900,92049,42563
959,1757,5287,6033,14824,10840,37246,2204,28568,9560
587,797,4034,3126,7874,12638,28798,3975,39559,14885
1420,1511,7802,5041,14840,14435,42951,3576,44638,20491
1942,1190,8392,3498,9364,13049,28222,7888,47302,36063
351,629,2569,3486,6842,14539,31997,6179,45453,23168
519,940,3053,5329,9400,27264,55301,12464,94988,47219
328,368,3132,1309,4805,8172,18184,10362,48174,45792
6499,2753,21484,6204,20216,19178,50172,13937,77282,61425
555,1042,3552,5974,12139,18584,46576,7329,61106,27636
1061,976,5407,3657,9617,14918,33865,7897,57674,39765
1266,2187,7208,7465,21116,16414,56200,3284,44064,14620
1881,2516,9305,8019,18700,25223,55691,13031,90766,65251
1218,2775,6633,11582,20684,28095,61786,13155,79143,46103
3117,3377,16197,9320,30276,22183,64315,7589,61801,22922
711,1108,5370,4051,12926,13820,40037,5927,51890,25217
1113,2122,6691,9336,20997,30300,82737,8716,90715,31364
492,672,3712,3141,8830,18300,40288,13122,83840,53851
792,1502,5881,7281,16629,31536,73450,14330,111723,62842
289,500,2203,2621,6080,11098,27029,3026,30533,10828
940,1462,2410,5928,6582,26558,30283,14255,53771,30891
1661,341,2531,124,793,38,242,11,50,57
98,317,549,1244,1861,1942,5099,272,3219,890
223,565,960,1931,3298,3399,9652,567,6758,2231
541,964,1745,3249,5136,4719,12659,930,8652,3147
144,266,867,1036,2291,2756,7180,624,6656,1523
198,485,978,2218,3637,3509,11219,445,6966,1915
3261,4751,7575,10926,18766,11631,32820,2082,18240,7483
71,159,523,987,1890,4030,8542,1095,9063,2120
702,802,2342,2198,4522,5531,12237,2040,14716,9815
581,1617,2911,6823,11563,11761,34102,1774,21809,6027
578,1152,2389,4604,8217,14804,32449,4918,49203,23956
228,354,1599,1564,3576,9134,18279,3434,31101,12942
168,279,1427,1316,3499,5462,13320,2148,15846,5600
192,413,1297,1956,3740,6686,16697,2016,21039,11999
266,592,1843,2510,5565,7126,18837,1637,18396,5522
305,591,1717,2813,5226,8881,20937,2670,24891,11937
412,646,2080,3175,6065,13892,30222,4968,46867,25631
1062,1187,4822,3334,8541,8535,21096,3347,25776,17476
4423,5027,15716,8774,26423,6366,32083,835,13165,5161
