name,이동진 별점,이동진 코멘트
이동진 평론가,4.0,"장밋빛 꿈과 핏빛 현실, 안에서부터 무너지는 중산층의 꿈."
무현군,4.0,영화내내 에미넴의 화려한 래핑을 볼수있을줄 알았으나.. 후반부 클럽신은 압도적이며 머리에 박히는 명대사와 희대의 &#x27;존나조쿤&#x27;짤방도 탄생시킨 영화.
할리우드,4.0,개우주연상
주보라,3.5,"이런 로코. 생각없이 보기 좋다.
무엇보다 여름에 훌쩍 떠나고 싶을때, 여행을 따라가다보면 여행지를 보는것만으로도 좋다."
이동진 평론가,4.0,요절복통 진행되지만 결국 남는 건 가슴 속 검푸른 멍 하나.
SJ,3.0,"상대에게 던지는 충고들은 사실 
자신에게 던지는 충고가 아닐지
　
&#x27;사람되는건 어렵지만 괴물은 되지 말자&#x27;
　"
이동진 평론가,3.0,스포츠와 휴먼드라마의 찰떡 궁합.
왓차녀,5.0,솔직히 슬픈 장면은 없는데 울컥했다
박진우,4.0,"단순히 웃기기만 한 영화인 줄 보고 봤는데, 좀 일부러 감동을 유도하는 뻔한 부분이었지만 엄청 슬펐다. 그냥 웃음코드로 끝까지 가면 좋았을 듯, 그리고 좀 폭력적인부분은 싫었다."
이태경,4.0,"꽃보다 남자는 한국판도,대만판,중국판 다 싫다. 일본판이 최고야. 가끔은 이런 반짝거리는 유치함이 필요해.어째선지 일본영화는 &quot;유치함&quot;을 감안(인정)하고 보게된다는 아이러니 흠"
최민상,1.0,아오 그만하고 마블한테 판권 넘겨라
신승헌,3.0,마지막까지도 놓치지 않으려는 작품성과 스토리 그것을 결국은 지켜냈다.
Doyeon Kim,4.0,전형적인 미국식 B급 영화로 위장한 사회비판 영화. `화이트` 캐슬에 입성하려는 이방인들의 노력이 말도 안되게 눈물겨워서 웃음을 자아내는 아이러니. 단순한 B급 영화는 아니다.
바나나우유,3.5,전작의 명성 때문에 혹평은 피할 수 없는 상황인데 가장 중요한 케빈이 없으니 더더욱 어쩔 수 없지. 하지만 3편만 떼어놓고 본다면 이보다 못한 코미디 영화가 수두룩하다.
제프박,2.0,뭔가 이것저것 있기는 한데 그저 개성없이 흘러가기만 해서 보고 나면 뭘 본건지 기억이 나지 않음.
익명,4.0,순수한 사랑인줄 알았지만 낚여버리는 비구한 운명의 소년의 이야기
김예린,5.0,can&#x27;t take my eyes off you
신승헌,2.5,일반적인 스토리는 아니지만 영화를 보는 내내 일반적으로 느껴지는 감정들.
서동준,4.0,어릴때 사탄의인형보고 아빠한테 다음편빌리자고할때 오탄의인형빌리러가자고했다
sorom,3.5,둘이 너무 똑같이 생겼다..
쿠퍼쿠퍼,3.5,와......시발........
미키짱,3.5,알렌새끼 죽이고싶다.
손님,4.0,상당히 좋았는데.. 너무 저평가됐다
조희진,4.0,유지태와 이연희 만큼은 재밌다
천진영,4.0,"변해버린 인간, 변하고 있는 인간, 변하지 못한 인간. 결국 사회에는 변해버린 인간만 살아 남는다. 그래서 사회는 변하지 않는다."
jinnie gonzalez,1.0,긴장감과 현장감은 카메라 흔든다고 생기는 것이 아니다
이슬기,4.0,"차라리 목숨보다도 지켜내고 싶은것이 있을때, 그리고 그걸 스스로 지켜낼때, 우리는 존엄하다."
Laurent,3.5,크리스 파인의 영롱한 에메랄드 눈동자가 몇 번이나 눈에 밟혔다. 크리스 파인이 행운이 없었던 이유는 그 눈동자를 안경으로 가리고 다녀서 그랬던 것 아니었을까 하는 팬심어린 생각.
이동진 평론가,3.5,상처를 다뤄내는 한국영화의 새로운 감각.
김시선,4.0,B급 코드의 희망.
정지환,4.0,아직도 이 벨소리를 들으면 소름끼친다는 것만으로도 충분히 인상깊었던 작품
공장장,1.5,이 영화는 뭐.. &#x27;추억&#x27;이지.
오뱅이삼촌,2.0,지루함이 극에 달해 졸기 시작 할 무렵 뱅상카셀의 레이저 피하기에 빵터져 잠이 싹 달아나버렸다ㅋㅋ
김호진,0.5,"바다엔 7광구
산에는 차우"
안녕,0.5,슬프지만 동일한 내용이 두번 섹시하기는 힘들다.
