name,이동진 별점,이동진 코멘트
무비라이프,1.5,웰메이드 원작을 함부로 손대면 이렇게 된다. 유일하게 볼만했던 건 선녀같은 유역비
경지원,5.0,"내가 생각하는 해리포터 시리즈 최고 작품.주인공들이 어린아이티를 벗은 시리즈이기도 하고, 시간을 왔다갔다하는데 모든게 딱딱 맞아떨어지는 게 세심하게 스토리를 만들었다는게 느껴진다."
이동진 평론가,3.0,&#x27;조니뎁스럽다&#x27;는 형용사도 가능할 듯!
신현영,5.0,샘 레이미의 스파이더맨 트릴로지의 첫편 큰 힘에는 큰 책임이 따른다는 명대사와 함께 몸소 블록버스터에는 큰 재미가 따른다는것을 보여줬다.
이동진 평론가,2.5,"그러니까, 항상 3-D로 볼 필요는 없어요."
임지혜,5.0,"다크나이트가 조커였고 다크나이트라이즈가 베인이였다면 배트맨비긴즈는 진짜 배트맨이야기.
그래서인지 다른 배트맨시리즈와는 다른맛이 있음."
이동진 평론가,2.5,울버린에 대해 이미 알고 있는 것과 굳이 알 필요 없는 것.
영화보는설,4.5,왜인지 그냥 이유없이 좋아하는 영화
이동진 평론가,2.5,잘 나가던 영화를 어쭙잖은 신화가 잡아먹었다.
이동진 평론가,4.5,"팀 버튼적인, 너무나도 팀 버튼적인."
강성현,2.0,흑백영화인줄
이동진 평론가,3.5,판타지 왕국의 수도는 팀 버튼.
임지혜,2.0,참신한 소재로 참신하게 망함. 남은건 간간히 돌아다니는 장근석의 통장고백 짤밖에..
김성호 영화팬,1.0,겉멋만 잔뜩 든 여자감독의 유아적 상상. &#x27;재능없음&#x27;이 무슨 뜻인지 알고 싶다면 추천한다.
Jeonghee Lee,1.0,차라리 이연희가 벙어리로 나왔다면
전지훈,1.0,내 생애 본 영화 중 가장 최악임.. 이거 쓰려고 가입함
이지혜,4.0,80년대 끝자락에 태어나 90년대의 감성을 누릴수 있는 건 축복이다. 영화로서의 어떤 모자람보다도 90년대에서 2000년까지의 그 감성을 고스란히 담아둔 것 자체로 너무 예쁘다.
해바라기,3.0,"기억난다. 90년대 순정만화는 이런 느낌이었다. 옛날에 사촌누나집에 놀러가면 책장 가득 채운 잡지마다 빼곡히 실려있었다.
한때 소녀였던 작가가 당시 소녀들을 위해 만든 이야기."
잇지,5.0,"Hello, stranger? 
다 안다고 생각하는 그녀를, 실은 가장 기본적인 것도 몰랐던 댄. stranger가 closer가 되기까지, 그리고 다시 stranger로."
KCH,0.5,정말재미없었던건 나뿐인가
권오연,5.0,대한민국 남자배우 아이콘이 90년대가 한석규 2000년대가 송강호라면 2010년대는 단연코 황정민이다
이원찬,5.0,단연코 최고의 일본 멜로 중 한작품
송홍근,3.5,"나비효과와 메멘토를 섞어놓은듯한 영화. 모든면에서 특히 내세울것도 흠잡을것도 없이 무난하지만 단, 영화가 굉장히 불친절해서 집중하지 않으면 내용 따라가기도 힘들다."
김재표,4.0,"브로디는 어떻게 영화마다 불쌍한 연기를 하는지,.. 불쌍한 코쟁이 아저씨"
이원찬,1.0,아...진짜....이런 영화 만들꺼야?
김민경,3.0,만화가가 잘못이다 애초에 라이토를 그렇게 잘생기게 그리지나 말던가 엉엉
바나나우유,4.5,개인적으로 굉장히 재밌게본 하이틴 스릴러 무비. 몰래 엿보는 스릴감도 좋았고 소소한 깨알웃음 짓게 만드는 장면도 많았음. 생기발랄한 배우들 보는 재미까지 굳~.
잇지,3.0,"성욕, 식욕, 배설욕."
송정길,5.0,&#x27;Open your eyes.&#x27; 그의 무의식은 끊임없이 그에게 외치고 있었다. 눈을 뜨라고. 진짜 인생을 살아가라고.
박효근,3.5,오죽하면 식스센스 이후 최고의 반전이라는 말이 생겼을까
Woolim Kim,5.0,나우유씨미가 재미없는 이유
오뱅이삼촌,3.0,페이스오프보다 더 말도 안되는 설정과 연출....
김정민,2.0,류크를 3D로 만들어 낸 것은 최고였지만.. 만화책 반도 못 따라간 영화.
Min-Seop Lee,4.0,스릴러는 쫒아오는거 보다 움직이지 못할때 더 스릴있구나를 보여준 영화
박진우,5.0,인간에 대해서 많은 것을 생각하게 해준다. 합리성이란 어쩌면 불합리한 것들이 모여서 만들어진 것은 아닐까
권용준,4.0,정말 신선하고 재밌는데 왜 5점주기 뭐할까
권용현,2.0,"난데없이 주인공은 막장급으로 각성하고, 반대편은 은칼로 죽인답시고 시간질질끌다 도망갈기회만 주고, 마지막에 등장한 엄만 언재봤다고 모성애랍시고 도망가게한다. 너무나도 엉성한 구성."
이석우,5.0,12몽키즈 원숭이 나오는 영화인줄 알고 안보고 있었는데 최근에 보고 내가 원숭이 됨
Movey,5.0,"연출의 디테일이 살아있다.
쉽게 공감하지 못할 
소재 임에도 불구하고
외계인을 인간에 빗 대어
사회적 문제점들을 콕 콕 찝어낸다.
처음엔 징그러웠던 게
나중엔 귀엽기까지 하다."
이동진 평론가,3.0,아찔한 현장감. 그래도 한번 더 볼 것 같진 않다.
이동진 평론가,2.0,예고편을 잘 만들었다.
정진우,4.0,&quot;데이트 약속이 있었는데.&quot;
박하늘,0.5,하나같이 억지 눈물 억지 감동 짜내는 후진적 상업 영화만 만드는 감독의 대단한 뚝심
봄희,1.0,솔직히 이걸 돈내고 봤다는게 자존심상함
SkyWave,1.5,이경규가 안타까워지는 영화
튜튜,3.0,참신한 소재에 시간여행의 온갖 클리셰를 때려넣은뒤 브루스윌리스의 대사처럼 &#x27;설명하기엔 너무 복잡하다&#x27;며 모든걸 넘어가는 영화
최우석,2.5,조니뎁도 클로이모레츠도 살릴수없는 팀버튼작품중 최악작품
클린트옹,4.5,마지막 키스신에서 영화가 끝났더라면....
JungHoon Im,4.0,신정원 감독은 우리나라에서 유일하게 b급 정서를 이해하고 풀어내는 감독이다 이 영화가 주고 싶은 건 개연성이 아니라 느낌이다
Recorder,,누군가는 그만하자고 외쳐줘라 제발
이동진 평론가,2.0,아마도 올해 가장 짜증나는 한국영화 주인공 캐릭터일 듯.
조재령,1.0,주제를 날대사로 떠먹여주는데 닭살이 돋았다. 고민의 깊이가 너무 얕아서 보는 내내 불편했다.
오뱅이삼촌,3.0,어벤져스 때문에 급히 만든감도 있고 유치한면도 있지만 만화를 이정도 영화화 한것만으로도 별 세개는 줄 수 있을듯? 그리고 로키라는 매력적인 케릭터도 수확이라면 수확일듯
김민범,2.0,넌 내 남자친구의 뇌를 먹었지만 로맨틱하니까 사랑해
이지원,3.0,딴 건 모르겠는데....박시연 몸매는 최고였다...근데 딱 거기까지가 전부인 영화다
YumSunWoo,1.0,주변에 재밌게 본 사람이 있다면 주저없이 간첩신고는 111
Hojin Kim,3.0,"너희 젊음이 너희 노력으로 얻은 상이 아니듯, 내 늙음도 내 잘못으로 받은 벌이 아니다."
이동진 평론가,2.0,여기까지 시리즈를 다 봤는데도 최종편이 안 궁금하다니.
최재환,4.0,재주는 49번이 부리고 돈은 52번이 벌었다
이동진 평론가,4.0,결국 사랑은 시간을 선물하는 일.
이동진 평론가,5.0,음악이 이야기를 만나는 가장 아름다운 방식.
흠좀무,5.0,"&quot;뭘 안다고 그래요?
  잘 알지도 못하면서,
  딱 아는 만큼만 안다고 해요.&quot;"
워노워노,4.0,주인공이 친구를 닮아서 더욱 몰입이 되었다.
이동진 평론가,4.5,클린트 이스트우드가 미리 써둔 유서를 보았다.
김기수,4.0,그리하여 소년은 오십년간 소녀의 피셔틀이 되었어요.....
Jason Choi,5.0,클린트 이스트우드 영화는 어떤 소재든 호들갑 떨지 않아서 좋다
제시,4.0,"살아도 사는게 아닌 벼랑끝에 선 쥐새끼들의 생지옥.
우아하고 깔끔한 만족스러운 리메이크"
이동진 평론가,4.5,하도 긴장하면서 봤더니 몸이 다 아프네.
발렌타인,4.0,밑에분 단체댄스 왜 넣냐고 하시는데 할리웃자본으로 만든거지만 인도영화는 마지막에 단체댄스 무조건 나와요 괜히 생뚱맞게 넣은게아님 전통임
뉴현,4.0,처음으로 김래원이 괜찮은 배우라고 생각했다.
김기윤,3.0,우리나라 평이 왜이렇게 좋은지는 모르겠으나 완성도가 떨어진다고 생각한다. 사건 마무리 안하고 끝나는 느낌. 솔직히 약먹고 머리가 좋아진다는 소재도 별로 참신하지 않다.
진승환,3.5,"난 개인적으로 토르같이 전형적 영웅보단 로키같은 스타일이 더 좋다 솔직히 다들 로키 죽은거 안 믿었잖아?
 Sehan Oh님과 함께."
이종욱,4.0,영상과 음악의 조합이 각별하다. 또한 배우들의 개성도 제대로 파악하고 있는 영리한 작품!
이동진 평론가,4.0,Coooooooool !
영화 그리고 해석 - 블로그,4.5,"오프닝 장면.
흑백화면의 심문장면과 세트의 해체는  이 영화가 전통첩보물에서의 탈피함을 의미한다."
해바라기,2.5,천재들의 이야기라길래 영화도 천재적일거라 생각한 것은 나의 오산.
이매력,3.5,"&quot;처음부터 너만 없었으면 돼.&quot; 라는 말에 버텨오던 것들이 미세하게, 곧이어 와르르 무너져버린 때의 기태 표정이 생각난다."
마틴문,4.0,영화 사상 가장 우아한 FUCK YOU
Ji Seung Hwang,5.0,"시대를 앞서버린, 비운의 걸작."
Koon Kang,4.0,각본은 진짜 엉망진창인데 재미있는걸 어떡하라고
박하늘,5.0,"가장 금기시되는 본능인 근친상간,
가장 파괴적인 욕망인 복수.
보편성과 예술성의 두 기둥 위에 서서
인간 존재의 가장 원초적인 심연을 꿰뚫어보는 박찬욱 감독의 감각적 시선."
Arcturus,3.0,이 영화를 가장 어리석게 관람하는 방법은 어떻게 결혼을 두번 하냐며 화를 바득바득 내면서 관람하는 것이다.
PaPa is,4.0,"잔머리를 정직의 우직함이 
이기는 세상에서 살고싶다."
이동진 평론가,2.5,액션영웅 홈즈가 세계정복하려는 악당과 싸운다고라고라?
이동진 평론가,3.0,뛰어난 배우 한 명이 영화를 살렸다.
신현영,3.5,설경구는 정말 대체 불가능한 배우임은 틀림없다
정주헌,4.0,이때까지만 해도 해리포터를 두근대며 보았다.
이동진 평론가,3.5,할리우드에서도 철저히 오우삼적이어서 성공한 오우삼.
염간지,4.5,사람의 상상력은 우주보다 크다
남유진,5.0,정말 술먹고 연기한듯
최윤경,4.0,순수하고 섬세해서 보는 내내 집중할 수 밖에 없었다. 수화가 이렇게 아름다운건줄 처음 알았다.
김기훈,4.0,당신이 들어왔을 때부터 말은 필요없었어요
이유영,5.0,내 생에 이렇게 결말 연출이 좋았던 영화는 이게 처음인것같다. 마지막에 헤드셋을 집어던지고 환호성을 질렀는데 언제 또 이런 쾌감을 느낄까.. 이런기분을 느낄 기회가 다시 오긴할까?
이동진 평론가,5.0,지금 사랑 영화가 내게 줄 수 있는 모든 것.
설해,5.0,중국말이 이렇게 부드럽게 들리는 영화는 처음이었다. 전반적으로 깔리는 ost와 이미 유명한 피아노배틀같은 볼거리 그리고 풋풋하고 애틋한 멜로.
신슬기,5.0,"누구나 청소년기는 바람과 같다는걸 보여주는 영화입니다.
지나고나면 그때 왜그랬는지.
왜 그당시엔 그게 최고였는지.
이 영화는 나의 학창시절을 떠올리게하는
영화입니다."
emmy,4.0,비주얼만으로도 마스터피스
이동진 평론가,2.5,넓이를 깊이로 착각한 결과물.
Abby Ghana Lee,5.0,백명의 사람이 있다면 백가지의 사랑이 있는 법
윤지선,5.0,추억은 물건이 아닌 마음에 깃드는 것.
읫짱,5.0,애엄마 멘탈두께보고 식겁하는 만화
JJ,4.0,구구절절한 백 마디 말보다 가슴 절절한 두 글자 그대 이름
송홍근,5.0,전작이 &#x27;점&#x27;이었다면 리로디드는 &#x27;선&#x27;이다. 매트릭스의 세계관이 곧 드러난다.
김성호 영화팬,4.0,괜히 매년 크리스마스 때마다 틀어주는 게 아니다.
YIK,5.0,화려한 액션과 소름보다는 프랭크의 발칙한 상상력으로 영화는 승부한다. 신선한 충격. 두 주연의 조화가 대박이었다. 실화를 바탕으로 살을 붙여 잘 만들어진 영화이다.
이유진,5.0,사람은 보고싶은 것만 보고 듣고싶은 것만 듣고 믿고 싶은 것만 믿고 기억하고 싶은 것만 기억한다
채이도,3.0,시인이 갔을 필요는 없다. 시인이 왔어야 했다는 말도 충분히 근사하기 때문에.
윤지욱,5.0,"&#x27;버지니아 호&#x27;을 타고 &#x27;1900&#x27;과 여행을 갔다온 기분이다
 나인틴 헌드레드님과 함께."
적바림,4.0,"누가 만든 영화인지 모르고 보다가 
&quot;와, 감독 누구야.&quot; 라며 이름을 봤는데."
지혜,5.0,양조위가 모자 벗으면서 다가올때 깔리는 bgm과 표정연기는..........애국가 틀어주듯 티비에서 틀어줘야 된다고 생각한다
김민경,4.0,"일본애니는 유독 여름과 청춘이라는 소재를 좋아하고, 잘 표현한다.
미래에서 기다릴게 라는 대사는 정말 명대사
영화가 끝나고도 남는 여운과 안타까운 기분이 좋았다"
이동진 평론가,4.5,"흥미로운 각본, 우아한 연출, 좋은 연기를 모두 갖춘 음악영화의 품격."
서현,5.0,미야자키 하야오 작품 중 단연 원탑
영화보는 변준수,4.5,"다섯 개의 손가락 그리고 하나의 손바닥
포스터."
김성호 영화팬,4.5,"비즐러가 타인의 삶에 동화된 것이 아니라는 것을, 자신의 삶에 새로이 눈뜬 것이라는 걸, 영화는 그의 마지막 대사를 통해 선명히 드러낸다. 이보다 훌륭한 대사와 엔딩은 흔치 않다."
김동하,4.0,이건 나는게 아니라 멋있게 추락하는거야
가비,5.0,업햄의 행동에 욕이 절로 나온다. 마치 나일 것만 같아서.
정준구,5.0,이 영화를 영화관에서 안본걸 평생후회할꺼 같다
최플린,5.0,너 때문에 마블의 노예가 됐다
조아라,5.0,"의학, 법률, 경제, 기술따위는 삶의 도구가 되지만 시와 아름다움, 낭만과 사랑은 인생의 목적인거야"
이동진 평론가,4.5,현대문명의 허상을 조롱하는 통렬한 블랙코미디.
제시,5.0,폭력과 살육의 쾌감에 젖어 민주주의란 말이 무색할정도로 수동적이고 인간성을상실한 대중들.그들을 일깨운것은 가장폭력적이고강인하지만 동시에 감상적이며 인간적인 막시무스의 피의 절규였다
김미은,4.0,본 시리즈는 사랑입니다 본죽 본비빔밥까지도
Sang-Woo Lee,5.0,뻔해서 싫다고? 진리는 원래 평범한 법. 뻔한 내용을 지루하지 않게 표현하는 것도 능력이다.
박건우,5.0,이 영화를 본후 여운의 기한을 정하라면 만년으로 정하겟소
푸르나,5.0,포레스트는 내 마음속  가장자리 어딘가에서 뛰고있다 묵묵히
박동욱,5.0,"나따위가 감히 감상평을 남길 수 없는 영화.
"
Min-Seop Lee,5.0,과장하면 이 영화는 &#x27;매트릭스&#x27;라는 또 하나의 장르를 만들었다
이석준,5.0,"이런 시각효과 너무 좋다. 몽환적인 분위기도 좋고, 생각할 여지가 있는 이상한 나라의 앨리스도 좋고."
박현영,4.0,어설픈 A급보다 잘 만들어진 B급이 낫다.
채이도,2.0,허무하다. 다코다 패닝 좀 조용히 했으면 좋겠다.
박준재,5.0,호이가 계속되면 그게 둘리인줄 알아요
제시,4.5,프로도 goodbye 이제 나의 머릿 속 호빗은 무조건 빌보 배긴스. 셜록에서도 못 찾은 마틴프리먼의 매력을 빌보에서 찾다. 진지하게 피터잭슨은 가둬놓고 평생 영화만 찍게 해야할듯
우요셉,5.0,"마지막 모든비밀이풀리는 3편 그비밀이 궁금해
여기까지온것이다 그만큼끌리는 스토리와 전개는
감탄사가 나온다 마지막까지 초심을잃지않고
재미와 감동을 선사해준다 마무리가 아주좋았다."
멸치꼴깍,3.0,"성장담은 이렇게, 극적이기보단 담백할 필요가 있다."
이동진 평론가,2.5,두번째 타석에서 헛스윙 크게.
송홍근,2.0,한창 곱등이와 연가시가 유명세를탈때 편승한 영화. 재난영화로보기에도 괴수영화로 보기에도 애매하다. 어설프게밀고가는 스토리와 작위적 설정 연출은 상당히 수준미달이다.
이동진 평론가,4.0,바닥까지 웃었다.
여리,0.5,인종 차별적 발상에 분노하면서 각종 사이트에 성심성의껏 최고의 악평을 올렸다.
보얌,3.5,광주의 희생을 잊지않겠습니다.
얌마,5.0,병헌컨대
이길,4.0,"재난 영화중 가장 현실성 있는 스토리가 아닐까..
인간의 지식을 대표하는 책을 불태워 추위를 견디는 장면이 인상깊었다."
미겔,3.5,"비열한 그들만의 세계를 것멋만 다루지 않고 마주하고 싶지 않은 이야기와 나름의 삶을 꿈꾸는 모습과 좌절을 엿볼수 있어서 좋았다

조덕배의 노래와, 땡벌도 뇌리에 오래 남아있다"
미녀기자,5.0,&quot;나 어렸을때 지금 이나이쯤 되면 되게 특별한 여자가 돼있을줄 알았다? 근데 안타깝게도 난 안정감이 제일 중요한 평범한 여자였어&quot;
키즈 리턴,4.0,잘 만든 스릴러인데 심하게 저평가 되어있는.
ChangWan  Hong,1.0,"야구 신종어에 귀병이 있죠. 귀신같은 병살
영화에도 귀병이 있습니다. 귀신으로 끝나는 병신같은 영화."
적바림,3.0,"센스 있다, 손재곤! 색깔 있다, 박용우!"
김광규,2.5,분명히 재미있게 봤는데 남는게 없다
김형진,3.0,전작에서 들던 &quot;딸 하나 살리려고 저렇게 많이 죽여도 되는거야?&quot;에 대한 해답편. 해답은 &quot;죽은 사람 걱정할 사람까지 몰살시키면 됨.&quot; 어후 연좌제 액션
지예,3.0,"새가 물고기를 알지 못하는 것은 부끄러움이 아니랬는데
그는 물고기에 가까웠던 모양이다.
맞지 않는 옷을 입은 듯 늘 의기소침하던 그는 오히려 낙인이 찍힌 후 자유롭다."
송재한,2.5,어쩔 수 없이 &#x27;타이타닉&#x27;을 거론해야 될 수 밖에.
최문경,4.0,왜 이게 야하기만 한 영화로 알려졌는지 모르겠다
꽃고래,3.0,마동석이 살렸다.
이동진 평론가,4.0,우리는 어떻게 &#x27;엑스맨&#x27; 시리즈를 다시 사랑하게 되었나.
임진남,2.0,감동이 참기름도아니고 쥐어 짠다고 짜지나
펩시,5.0,"지루하다고, 질질 끈다고 느끼는 님들아. 그게 바로 감독이 의도한 &quot;전쟁의 정의&quot;입니다."
멸치꼴깍,5.0,"우리(cage) 안에 가둬키운 자식의 이면을 볼 때, 사랑해서 감싸는것이 아니라 두려워서 눈 감아버리는것."
주보라,3.5,"여리가 친구들이랑 전화하면서 우는 장면, 그리고 마조구가 여리에게 고백하는 마지막 공항씬.
이 영화가 괜찮다, 좋다 라고 느낀 이유."
이동진 평론가,2.0,인공 눈물.
구루미,5.0,마구 웃어보려 본 영화인데 눈물콧물 쏙빠지게 만드는 영화- 몇번을 봐도 같은데서 눈물샘이 터지네요ㅋ
최현빈,2.0,이 편부터 해리포터를 으리로 봤지
박조은,5.0,나의 10대를 너와 함께 보낼 수 있게 해줘서 고마워.
김용균,4.0,처음 간 교직원여행 돌아오는 버스 안에서 기사님이 과감하게 선택한 영화. 선생님의 절반은 주무시는 척 할 수 밖에 없었다.
오뱅이삼촌,2.5,예나 지금이나 우리나라 군사무기 개발에 대한 주변국의 훼방은 여전하구만...
바나나우유,0.5,스포츠 영화는 어설프면 몰입 자체가 잘 안된다. 더더욱 이 장면을 생중계로 봤던 사람이라면 말이다. 높게준다면 그 때 감정 때문이지 이 영화를 잘만들어서 주는 점수가 아니다.
이경훈,3.0,좀 뻔한 내용의 전형적인 한국식 코미디이긴 했지만 황정민의 극중 연설 부분은 꽤나 마음에 와닿았다. 
이태현,5.0,어쩌면 히어로물 중에서 가장 영웅적 고뇌를 잘 담아낸 작품. 난 어메이징과 같이 극한상황에 유머러스한 스파이더 맨 보다는 이렇게 소시민적이고 약한 스파이더맨에게 더 정이 간다.
류동훈,4.0,초딩때 재밌게본거
Abby Ghana Lee,5.0,한국형 액션 스릴러의 개척 어디에 내놔도 부끄럽지 않은 우리 영화
이동진 평론가,3.0,여름 블록버스터로 이의없음!
박형곤,4.5,"왕의귀환이 너무 강렬해서 묻힌경향이있는데, 당신이 진정 반지매니아라면 두개의탑을 최고로 칠거라생각한다"
류재욱,4.5,"침몰해갈 때 책 읽어주는 엄마, 연주하는 악단, 껴안고 자는 노부부"
이동진 평론가,1.5,극중 머리 때리기 114차례. (&#x27;연타&#x27;가 워낙 많아 틀릴 수 있음.)
이동진 평론가,4.5,완벽한 공산품.
이동진 평론가,3.0,남성 투 톱 영화에서 앙상블 좋은 두 배우를 보는 재미.
20세기소년,1.5,재난 영화인가 영화가 재난인가
Sun-yun Kwon,5.0,이제 소리 끄고도 볼 수 있음
최진환,5.0,인생에 볼까말까한 명작
웡니,5.0,아직 못 본 사람 부럽다. 소름 돋을 수 있어서...처음 봤을 때 그 전율을 다시 한번 느끼고싶다.
Amable,5.0,강동원과 강동원 그리고 강동원.
류재욱,1.5,아포칼립토에게 사과해야되는 영화
이동진 평론가,2.5,뭔가 계속 재미 있는 것을 보고 있는 것 같은 착각.
제시,4.0,제레미레너의 타이트한 수트핏만큼 튼실하고 톰의 늘어난 주름만큼 노련하다
이동진 평론가,2.0,지상 최대의 철거 영화.
전겨레,1.0,선수들이 더 어설퍼보임
김시선,2.5,보는 이유가 문근영인 사람 손 들어.
딸기우유,4.0,감독이 여자라그런지 여주 감정이 너무 사실적이라 놀랐다.혼자 나와 빗속에서 우는장면.데이트를 하고는 있지만 불편한 그 무엇.말그대로 오래된 커플에게는 불씨가 될 자극제가 필요할지도
라하나,5.0,"엄마랑 보고싶었던 영화인데
결국 혼자보며 엄마그리워한 영화"
오드헉 네이버블러그wooju91111,2.0,감동을 너무 작위적으로 줄려고해서 있지도 않은 사실을 연출한 감독에게 한 마디 하고싶다 &quot;체육관에 남북 관중들이 부등켜안고 부른 아리랑은 실화인데 이게 더 아름답지 않나요?&quot;
박관우,3.0,어릴때봤는데 그때는 정말 순수했었나보다 그땐 이 영화를 그렇게 재밌게 봤었는데
이동진 평론가,4.5,007 시리즈가 꿈도 꾸지 못했던 경지.
다혜,4.0,"많은 사람들이 아킬레스가 내뿜는 테스토스테론에 열광할 때, 나는 헥토르에게서 진짜 &#x27;남자&#x27;를 봤다."
송홍근,2.5,오리엔탈리즘의 끝을 보여주는 영화. 이렇게 노골적으로 동양비하의시각이 드러나는데 그저 무감각하게 즐기는 사람들이 많다는 현실. 일본이만든 영화에 백제사람들이 괴물로 나와도 이럴래?
오뱅이삼촌,1.0,이정도면 각본만 봐도 안 될 영화라는 감이 오지 않았을까? 아니면 의리 때문이었나?
박형곤,2.5,외모가 일단 완벽해야 외모가 다가 아님을 말할수 있는 모순
멸치꼴깍,5.0,"그에게 작별을 고하며, 기나긴 여정에 경의를 표한다. 이건 시리즈에 주는 별점이다."
미순,1.0,벨라 샹년 시동건다
안준서,4.0,"미국식 코미디의 정수.

언제나 시리즈의 성공여부는 주로 2편이 결정짓는데, &#x27;맨인블랙 2&#x27;는 시리즈의 다리역할을 완벽히 소화함과 동시에, 신선한 장르적 쾌감까지도 선사한다."
주보라,5.0,"내가 네 기억이고 니 마음이야. 알았지?
나는 당신을 기억하지 않아요. 당신은 그냥 나한테 스며들었어요. 나는 당신처럼웃고 당신처럼울고 당신냄새를풍겨요."
홍성윤,1.0,이 영화 후에 엑스맨을 살리기 위해서는 과거로 돌아갈 수 밖에 없었다
우요셉,3.0,총알휘는영화
김세영,4.0,내가 새우도 좋아하고 볶음밥도 좋아하지만 새우볶음밥은 싫어할 수 있는 거잖아
송홍근,4.5,무엇보다도 한국에서 이만한 스릴러가 나왔다는 것에 감탄. 치밀한 스토리 전개가 돋보이는 스릴러 수작. 억지스러운 몇몇설정이 유일한 흠.
Elaine Park,1.5,분명히 영화표가 있는데 기억이 안나네....
상준,3.0,어장관리의 정석
최현석,5.0,박찬욱광기의절정. 국내에서가장저평가되는작품
김성현,5.0,"영화 셜록홈즈3도 기대되지만, 솔직히 영드 셜록3가 더 기대된다"
곽승현,3.5,러브 액츄얼리 아류작이라는 생각부터 들었지만 곧 형식만 빌렸을뿐 하고 싶은 이야기가 또렷하단 느낌을 받았다. 캐스팅은 무슨 생일상 받는 느낌. 하지만 내내 회의적으로 보다 니체에 마지막 문구에 마음을 돌렸다.
이윤수,4.0,딸바보 끝판왕
김가영,0.5,왓챠 별 반개 기능 업데이트돼서 반개 빼러 다시옴
김성호 영화팬,1.0,한국영화의 발전을 위해 이런 영화는 확실히 응징해줄 필요가 있다고 생각합니다. 오냐오냐 하며 받아주니까 수준미달의 속편을 계속해서 내놓는 것이니까요.
공장장,5.0,사심 가득 담아서 별 5개.
Park Dae-won,4.0,"김민희의 재발견.
결말의 아쉬움."
신한나,1.0,한번 보고 잊을 영화
11,4.0,"나는 혼자다라는 외로움의 드라마적인 표현이 너무 좋았다
좀비영화에서 보여줄 수 있는 그 이상의 영화
추천"
박정제,1.0,"그래, 모든 인간적 문제와 범죄를 신앙으로 표백해 버려야지. 이만한 표백제가 우리집에도 있었으면."
찌꼬꽁,3.5,송새벽아니였으면 어쩔뻔?
GEOGRAPHIC,3.5,할머니들이 웃겨주다니 ㅋ 의외로 그 조합이 잘 맞았고 성공했다^^
지예,2.5,"남자는 미치면 모든걸 잃지만
여자는 미쳐서 뭔갈 얻는다."
김호진,0.5,"고맙게도 이때부터 조폭영화가 줄어들기 시작한것같다.
한국영화발전에 기여한 영화"
이동진 평론가,4.0,서툴고도 아름다웠던 젊은날에 보내는 아릿한 송가.
이승수,0.5,드디어 이걸 안봐도 되!
JJ,3.5,부부가 세트로 섹시하고 난리. 권태기 극복 한번 화끈하다! 그야말로 전쟁같은 전희까지. 난장판 된 집에서 맞는 상처투성이 둘의 아침은 다 깨진 컵을 들고서도 로맨틱하기 그지없다.
황대환,4.0,어두운 내용만큼 영화를 지배하는 다운된 톤이 너무 좋다. CG팀의 우아한 마법도. 보다가 울뻔 했음.
영화,2.5,"나중엔헷갈리는지경에오르는
이름하여..&#x27;실은내가니편인것이맞는것이맞는것은아니라고
말하는것이맞는것이아닌것같지만맞는것일수도
같은영화&#x27;.
오로지액션값만세개액션은재미있었다그나마그것때매
본듯"
BECKS,2.0,춘향전에서 방자라는 새로운 관점이라 신선할 줄 알았더니 이렇게 재미없을 줄 몰랐다
이동진 평론가,4.5,흡사 윤리학적 실험실 같은 강렬한 설정에 담긴 딜레마.
민경,0.5,오토바이가 질주하는데 이토록 긴장감없는 건 처음^^.. 킬링타임용으로도 아깝..^^^
이동진 평론가,2.5,해적 보러 갔다가 인어만 보고 나온 경우.
제시,5.0,신이되려는 인간은 더이상 인간일 수 없기에 그렇게 스스로 존엄성을 파괴해나간다
HarryPotter,5.0,ㅍㅌㅊ인데 닉값해야해서 5점줌
영지니어스,5.0,전설의시작
허기자,0.5,"이렇게 촌스럽고 완성도가 떨어짐에도 불구하고, 만족하는 관객들과 평단. 그들에게 화가 난다."
Tony An,2.0,임창정 하나가 영화의 큰 빈틈을 메꾼다.
이동진 평론가,2.5,"질감 약한 볼거리, 메아리 없는 메시지."
최종현,5.0,히스레져에게 찬사를.
황재호,3.0,"재밌다, 다시보긴 싫다"
신현영,4.5,"형만한 아우없다
아니다.
잭스패로우의 매력은 두배
스케일도 두배"
유동연,3.0,공론화했다는 것만으로도 가치있는 영화
박영서,3.0,이 영화는 시리즈물이여야한다. 물론 배우들 그대로쓰고.
이동진 평론가,3.5,스파이더맨 2 &gt; 스파이더맨1 &gt;&gt;&gt; 어메이징 스파이더맨 &gt;&gt; 스파이더맨3.
JJ,3.5,"촌스럽고 유치해도 가끔 그리운 그 시절만의 감성이 있다 여전히 좋은 신승훈의 노래도
뭐 사실 그런거 다 빼도 그때의 그 전지현이 있으니
찰랑이는 생머리 앞에선 모든 점수가 후해진다"
JessicaK,2.0,바람과함께 사라지다를 네이버에 검색했을때 gone with the wind 가 아닌 이게 나올때의 분노란... 제목을 지은 분의 의도가 궁금하다 ..
hoone,3.0,"이 가문의 영광은 여기까지....
안타깝게도 이후로 가장 처절한 몰락을
경험하기 시작한다."
이동진 평론가,1.5,세번 웃었다. 영화를 보며 내가 세번 싫었다.
왓차녀,2.0,이 영화로 인해 전국의 초등여학생이 조폭마누라라는 별명을 얻었지?
