,title,rating(y),avg_rating,lee_rating,eval_count,wish_count,cmt_count,run_time,year,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,text
27,브루스 올마이티,3.0,3.79117,,314274.0,9659.0,1323.0,100.0,2003.0,620,1089,3393,6469,10671,35734,64547,16868,120436,54447,톰새디악 짐캐리 모건프리먼 제니퍼애니스턴 12세관람가 코미디 미국
28,"색, 계",4.0,3.55195,,178290.0,9805.0,1245.0,157.0,2007.0,978,1517,5044,5093,13926,18714,43671,9587,53611,26149,이안 양조위 탕웨이 왕리홍 청소년관람불가 로맨스 멜로 미국 중국 대만 홍콩
29,펄프 픽션,3.0,3.93998,,65199.0,17580.0,1466.0,154.0,1994.0,113,158,1300,720,2506,5159,9866,6283,22912,16182,쿠엔틴타란티노 존트라볼타 사무엘L잭슨 우마서먼 청소년관람불가 범죄 미국
30,신세계,3.0,4.21741,,561470.0,15862.0,4473.0,134.0,2012.0,1129,1351,4842,5813,10312,37680,54387,53312,172892,219752,박훈정 황정민 최민식 이정재 청소년관람불가 범죄 한국
31,겨울왕국,4.0,3.90408,,528793.0,6676.0,7410.0,108.0,2013.0,2335,3642,5138,16751,16586,66545,84239,42376,155143,136038,크리스벅 박지윤 소연 크리스틴벨 전체관람가 애니메이션 미국
32,킥 애스: 영웅의 탄생,4.0,3.48115,,135240.0,6717.0,1691.0,117.0,2010.0,1174,1428,6350,4390,11298,14845,28940,6265,41614,18936,매튜본 애런존슨 클로이모레츠 니콜라스케이지 청소년관람불가 판타지 미국 영국
33,"아이, 로봇",4.0,3.6504,,295989.0,5242.0,880.0,110.0,2004.0,587,1225,3425,7369,14084,34126,77168,11900,106702,39403,알렉스프로야스 윌스미스 브리짓모나한 브루스그린우드 12세관람가 SF 미국
34,킹콩,4.0,3.43914,,280720.0,2553.0,929.0,186.0,2005.0,1127,2290,7440,9489,24224,27966,85256,8570,82203,32155,피터잭슨 나오미왓츠 잭블랙 애드리언브로디 15세관람가 판타지 뉴질랜드 미국
35,아바타,4.0,3.96304,,667532.0,4178.0,3078.0,162.0,2009.0,2285,3107,10057,11372,26109,49937,106607,47304,212636,198118,제임스카메론 샘워싱턴 조샐다나 시고니위버 12세관람가 SF 미국
36,노트북,4.0,4.01638,,275127.0,35005.0,2430.0,123.0,2004.0,758,1046,4492,4240,9990,20103,40417,20530,83723,89828,닉카사베츠 라이언고슬링 레이첼맥아담스 제임스마스던 15세관람가 로맨스 멜로 미국
37,명량,3.0,3.68229,,299663.0,7434.0,10269.0,128.0,2014.0,3522,4778,4398,17958,13293,51974,48078,33657,69187,52818,김한민 최민식 류승룡 조진웅 15세관람가 액션 한국
